outage_id,component_id,component_type,start_time,duration,end_time,cause,is_weather_related,impact,cascading,preceded_by,followed_by
O000010,node_37,node,2023-01-17 23:00:00,0.5,2023-01-17 23:30:00.000000,equipment_failure,False,294,False,,
O000017,line_31,line,2023-01-24 02:00:00,2.6780159039033875,2023-01-24 04:40:40.857254,equipment_failure,False,185,False,,
O000046,line_83,line,2023-02-12 18:00:00,3.8931606149607023,2023-02-12 21:53:35.378214,heat,True,1010,False,,
O000020,line_110,line,2023-02-13 16:00:00,2.0047777065649486,2023-02-13 18:00:17.199744,equipment_failure,False,301,False,,
O000042,node_72,node,2023-02-15 12:00:00,11.021009650137959,2023-02-15 23:01:15.634740,heat,True,1142,False,,
O000014,line_57,line,2023-02-23 13:00:00,1.3649178615107922,2023-02-23 14:21:53.704301,equipment_failure,False,414,False,,
O000045,line_1,line,2023-02-25 17:00:00,1.623859112657791,2023-02-25 18:37:25.892806,heat,True,1015,False,,
O000036,line_111,line,2023-02-26 11:00:00,4.960086619244176,2023-02-26 15:57:36.311829,heat,True,735,False,,
O000027,node_60,node,2023-02-26 14:00:00,3.1831469294456567,2023-02-26 17:10:59.328946,equipment_failure,False,374,False,,
O000025,line_85,line,2023-02-28 17:00:00,2.7963797755349433,2023-02-28 19:47:46.967192,equipment_failure,False,176,False,,
O000003,line_115,line,2023-03-11 19:00:00,18.86421017570141,2023-03-12 13:51:51.156633,equipment_failure,False,289,False,,
O000016,node_73,node,2023-03-23 19:00:00,0.7634591276617376,2023-03-23 19:45:48.452860,equipment_failure,False,185,False,,
O000028,line_77,line,2023-03-26 09:00:00,3.29167823450947,2023-03-26 12:17:30.041644,equipment_failure,False,515,False,,
O000040,node_29,node,2023-03-28 17:00:00,5.861813074571161,2023-03-28 22:51:42.527068,heat,True,1993,False,,
O000019,line_86,line,2023-03-29 08:00:00,8.818801354279179,2023-03-29 16:49:07.684875,equipment_failure,False,293,False,,
O000037,node_63,node,2023-04-04 08:00:00,17.28349116175464,2023-04-05 01:17:00.568182,heat,True,1273,False,,
O000048,line_7,line,2023-04-07 14:00:00,36.324801775122914,2023-04-09 02:19:29.286390,heat,True,908,False,,
O000026,line_58,line,2023-04-07 16:00:00,20.787410714019007,2023-04-08 12:47:14.678570,equipment_failure,False,430,False,,
O000044,node_97,node,2023-04-08 22:00:00,1.0,2023-04-08 23:00:00.000000,heat,True,1594,False,,
O000047,line_114,line,2023-04-11 17:00:00,3.332458232560951,2023-04-11 20:19:56.849637,heat,True,965,False,,
O000038,node_53,node,2023-04-13 10:00:00,1.0,2023-04-13 11:00:00.000000,heat,True,465,False,,
O000043,line_85,line,2023-04-29 16:00:00,20.587189512904875,2023-04-30 12:35:13.882246,heat,True,1582,False,,
O000029,line_3,line,2023-05-14 15:00:00,29.718082042591156,2023-05-15 20:43:05.095353,equipment_failure,False,324,False,,
O000035,node_77,node,2023-05-15 15:00:00,2.747381251720653,2023-05-15 17:44:50.572506,heat,True,2694,False,,
O000049,node_75,node,2023-05-19 21:00:00,3.3634923644698143,2023-05-20 00:21:48.572512,heat,True,1456,False,,
O000039,line_87,line,2023-05-21 10:00:00,1.133561064477118,2023-05-21 11:08:00.819832,heat,True,743,False,,
O000041,line_68,line,2023-05-26 03:00:00,10.562272788990331,2023-05-26 13:33:44.182040,heat,True,1011,False,,
O000007,node_37,node,2023-06-04 02:00:00,2.5616126440822407,2023-06-04 04:33:41.805519,equipment_failure,False,269,False,,
O000031,node_77,node,2023-06-08 13:00:00,2.865916621654585,2023-06-08 15:51:57.299838,equipment_failure,False,541,False,,
O000033,line_117,line,2023-06-12 09:00:00,6.931198495437224,2023-06-12 15:55:52.314584,equipment_failure,False,406,False,,
O000032,line_106,line,2023-07-08 11:00:00,8.7679600187593,2023-07-08 19:46:04.656068,equipment_failure,False,144,False,,
O000021,node_87,node,2023-07-20 17:00:00,5.16077661786699,2023-07-20 22:09:38.795824,equipment_failure,False,692,False,,
O000008,line_63,line,2023-08-01 14:00:00,0.5,2023-08-01 14:30:00.000000,equipment_failure,False,230,False,,
O000012,line_64,line,2023-08-02 19:00:00,0.8796329559540609,2023-08-02 19:52:46.678641,equipment_failure,False,198,False,,
O000011,line_35,line,2023-08-05 18:00:00,4.052481501320042,2023-08-05 22:03:08.933405,equipment_failure,False,188,False,,
O000004,node_3,node,2023-08-08 02:00:00,0.5,2023-08-08 02:30:00.000000,equipment_failure,False,341,False,,
O000034,line_75,line,2023-08-25 19:00:00,2.543518450072401,2023-08-25 21:32:36.666420,equipment_failure,False,505,False,,
