fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,end_time,event_id,state_event,datetime_event_began,datetime_restoration,event_type,year,utility_type,pop_density,rucc_code,land_area_sqmi
41005,Oregon,Clackamas,2015-01-24 12:45:00,0.0,0,0,0,2015-01-24 12:45:00,Oregon-NA-0,Oregon,2015-01-24 12:45:00,2015-01-24 12:45:00,None (Normal Operation),2015,iou,224.26395729630508,1,1879.040239369498
41005,Oregon,Clackamas,2014-12-19 23:45:00,0.0,0,0,0,2014-12-19 23:45:00,Oregon-NA-0,Oregon,2014-12-19 23:45:00,2014-12-19 23:45:00,None (Normal Operation),2014,iou,224.26395729630508,1,1879.040239369498
41047,Oregon,Marion,2015-04-18 05:30:00,0.0,0,0,0,2015-04-18 05:30:00,Oregon-NA-1,Oregon,2015-04-18 05:30:00,2015-04-18 05:30:00,None (Normal Operation),2015,iou,290.9848970219874,2,1188.790220867929
41047,Oregon,Marion,2015-06-09 22:30:00,0.0,0,0,0,2015-06-09 22:30:00,Oregon-NA-1,Oregon,2015-06-09 22:30:00,2015-06-09 22:30:00,None (Normal Operation),2015,iou,290.9848970219874,2,1188.790220867929
41051,Oregon,Multnomah,2015-03-08 00:00:00,0.0,0,0,0,2015-03-08 00:00:00,Oregon-NA-2,Oregon,2015-03-08 00:00:00,2015-03-08 00:00:00,None (Normal Operation),2015,unknown,1757.211867149745,1,464.0464904910133
41051,Oregon,Multnomah,2015-06-03 02:00:00,0.0,0,0,0,2015-06-03 02:00:00,Oregon-NA-2,Oregon,2015-06-03 02:00:00,2015-06-03 02:00:00,None (Normal Operation),2015,unknown,1757.211867149745,1,464.0464904910133
41051,Oregon,Multnomah,2014-07-17 19:00:00,0.0,0,0,0,2014-07-17 19:00:00,Oregon-NA-3,Oregon,2014-07-17 19:00:00,2014-07-17 19:00:00,None (Normal Operation),2014,unknown,1757.211867149745,1,464.0464904910133
41051,Oregon,Multnomah,2015-05-12 00:00:00,0.0,0,0,0,2015-05-12 00:00:00,Oregon-NA-3,Oregon,2015-05-12 00:00:00,2015-05-12 00:00:00,None (Normal Operation),2015,unknown,1757.211867149745,1,464.0464904910133
41053,Oregon,Polk,2015-05-01 12:00:00,0.0,0,0,0,2015-05-01 12:00:00,Oregon-NA-4,Oregon,2015-05-01 12:00:00,2015-05-01 12:00:00,None (Normal Operation),2015,iou,117.776847139022,2,742.3615262581737
41053,Oregon,Polk,2014-09-20 10:00:00,0.0,0,0,0,2014-09-20 10:00:00,Oregon-NA-4,Oregon,2014-09-20 10:00:00,2014-09-20 10:00:00,None (Normal Operation),2014,iou,117.776847139022,2,742.3615262581737
41067,Oregon,Washington,2015-05-12 19:45:00,0.0,0,0,0,2015-05-12 19:45:00,Oregon-NA-5,Oregon,2015-05-12 19:45:00,2015-05-12 19:45:00,None (Normal Operation),2015,iou,826.3591455726832,1,726.5267205143961
