"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"US10doug025","2010-06-22","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    5",",,N","    0",",,N",,
"US10doug025","2010-06-23","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","   56",",,N","    0",",,N",,
"US10doug025","2010-06-24","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-06-25","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-06-26","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-06-27","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    5",",,N","    0",",,N",,
"US10doug025","2010-06-28","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-06-29","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-06-30","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-01","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-02","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-03","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-04","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","  310",",,N","    0",",,N",,
"US10doug025","2010-07-05","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","  180",",,N","    0",",,N",,
"US10doug025","2010-07-06","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","   38",",,N","    0",",,N",,
"US10doug025","2010-07-07","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-08","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","   10",",,N","    0",",,N",,
"US10doug025","2010-07-09","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-10","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-11","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","  427",",,N","    0",",,N",,
"US10doug025","2010-07-12","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    5",",,N","    0",",,N",,
"US10doug025","2010-07-13","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","   25",",,N","    0",",,N",,
"US10doug025","2010-07-14","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-15","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","  191",",,N","    0",",,N",,
"US10doug025","2010-07-16","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-17","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-18","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0","T,,N","    0",",,N",,
"US10doug025","2010-07-19","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-20","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","  254",",,N","    0",",,N",,
"US10doug025","2010-07-21","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    8",",,N","    0",",,N",,
"US10doug025","2010-07-22","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    5",",,N","    0",",,N",,
"US10doug025","2010-07-23","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","   61",",,N","    0",",,N",,
"US10doug025","2010-07-24","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0","T,,N","    0",",,N",,
"US10doug025","2010-07-25","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-26","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-27","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-28","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-29","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-30","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-07-31","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-08-01","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-08-02","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","  246",",,N","    0",",,N",,
"US10doug025","2010-08-03","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-08-04","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","   71",",,N","    0",",,N",,
"US10doug025","2010-08-05","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
"US10doug025","2010-08-06","41.3639","-96.1558",,"BENNINGTON 0.1 ESE, NE US","    0",",,N","    0",",,N",,
