"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"US10keit004","2004-06-10","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","    0",",,N",,,,
"US10keit004","2004-06-11","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","   28",",,N","    0",",,N","    0",",,N"
"US10keit004","2004-06-12","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","    0",",,N","    0",",,N","    0",",,N"
"US10keit004","2004-06-13","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","    0",",,N",,,,
"US10keit004","2004-06-14","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","    0",",,N",,,,
"US10keit004","2004-06-15","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","    8",",,N","    0",",,N","    0",",,N"
"US10keit004","2004-06-16","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","  310",",,N","    0",",,N","    0",",,N"
"US10keit004","2004-06-17","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","   51",",,N","    0",",,N","    0",",,N"
"US10keit004","2004-06-18","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","   25",",,N","    0",",,N","    0",",,N"
"US10keit004","2004-06-19","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","   51",",,N","    0",",,N","    0",",,N"
"US10keit004","2004-06-20","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","   13",",,N","    0",",,N","    0",",,N"
"US10keit004","2004-06-21","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","   66",",,N","    0",",,N","    0",",,N"
"US10keit004","2004-06-22","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","    0",",,N",,,,
"US10keit004","2004-06-23","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","    0",",,N","    0",",,N","    0",",,N"
"US10keit004","2004-06-24","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","    0",",,N",,,,
"US10keit004","2004-06-25","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","    0",",,N",,,,
"US10keit004","2004-06-28","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","    0",",,N",,,,
"US10keit004","2004-06-29","41.0691","-101.5807","1021.1","OGALLALA 8.3 ESE, NE US","    0",",,N",,,,
