"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US10madi006","2006-07-10","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-11","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-12","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-13","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","   13",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-14","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","   13",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-15","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-16","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-17","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-18","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-19","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-20","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-21","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","   10",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-22","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-23","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-24","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-25","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-26","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    3",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-27","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-28","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-29","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-30","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-07-31","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-01","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","   13",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-02","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","  513",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-03","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-04","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-05","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    3",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-06","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","   13",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-07","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-08","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","  102",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-09","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-10","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","  142",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-11","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","  117",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-12","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","  244",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-13","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","  224",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-14","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-15","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-16","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-17","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","   28",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-18","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","    0",",,N","    0",",,N","    0",",,N",,
"US10madi006","2006-08-19","42.0261","-97.4007","459.9","NORFOLK 0.9 E, NE US","   97",",,N","    0",",,N","    0",",,N",,
