"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1COAD0138","2011-09-16","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","    3",",,N",,,,,,,,,,,,
"US1COAD0138","2011-09-20","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COAD0138","2011-09-21","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COAD0138","2011-09-22","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","   23",",,N",,,,,,,,,,,,
"US1COAD0138","2011-09-23","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","    0",",L,N","    0",",,N",,,,,,,,,,
"US1COAD0138","2011-09-26","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US",,,,,,,"    4",",L,N","    0",",L,N",,,,
"US1COAD0138","2011-09-27","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COAD0138","2011-09-28","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COAD0138","2011-09-29","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COAD0138","2011-09-30","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","    0",",L,N","    0",",,N",,,,,,,,,,
"US1COAD0138","2011-10-03","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US",,,,,,,"    4",",L,N","    0",",L,N",,,,
"US1COAD0138","2011-10-04","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COAD0138","2011-10-05","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","   13",",,N",,,,,,,,,,,,
"US1COAD0138","2011-10-06","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","    0",",L,N","    0",",,N",,,,,,,,,,
"US1COAD0138","2011-10-07","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","   56",",L,N",,,,,"    2",",L,N","  564",",L,N",,,,
"US1COAD0138","2011-10-10","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US",,,,,,,"    2",",,N","  254",",,N",,,,
"US1COAD0138","2011-10-11","39.898141","-105.04522","1605.4","WESTMINSTER 1.2 NNE, CO US","    0",",,N","    0",",,N",,,,,,,,,,
