"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1INPT0125","2012-01-16","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N","   51",",,N",,,,
"US1INPT0125","2012-01-19","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0","T,,N","   13",",,N","   25",",,N",,,,
"US1INPT0125","2012-01-21","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","  160",",,N","  178",",,N","  203",",,N",,,,
"US1INPT0125","2012-01-23","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","  198",",,N","    0",",,N","    0",",,N",,,,
"US1INPT0125","2012-01-24","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0","T,,N","    0","T,,N","    0",",,N",,,,
"US1INPT0125","2012-01-25","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N","    0",",,N",,,,
"US1INPT0125","2012-01-27","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","  127",",,N",,,,,,,,
"US1INPT0125","2012-01-30","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N","   13",",,N",,,,
"US1INPT0125","2012-01-31","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-02-01","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0","T,,N",,,,,,,,
"US1INPT0125","2012-02-02","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
"US1INPT0125","2012-02-03","41.4132","-87.0392","225.9","KB9F VALPARAISO 4.5 S, IN US","    0",",,N","    0",",,N",,,,,,
