"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1INSJ0036","2010-06-28","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","  117",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-06-29","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-06-30","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-01","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-02","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-03","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-04","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-05","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","   38",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-06","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-07","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-08","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-09","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","   61",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-10","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-11","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    3",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-12","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    5",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-13","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-14","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","   25",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-15","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-16","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","   20",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-17","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-18","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-19","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","   23",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-20","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0","T,,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-21","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-22","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-23","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","   28",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-24","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","  320",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-25","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","  140",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-26","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-27","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-28","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-29","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","  152",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-07-30","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-07-31","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-08-01","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","   36",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-08-02","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-08-03","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    3",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-08-04","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","   58",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-08-05","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","   61",",,N",,,,,,,,,,,,
"US1INSJ0036","2010-08-06","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-08-07","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-08-08","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-08-09","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-08-10","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-08-11","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1INSJ0036","2010-08-12","41.6011654","-86.0997298","250.5","MISHAWAKA 5.9 SE, IN US","    0",",,N","    0",",,N",,,,,,,,,,
