"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"US1MNBU0008","2011-04-14","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   13",",,N",,,,
"US1MNBU0008","2011-04-15","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   48",",,N",,,,
"US1MNBU0008","2011-04-16","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   61",",,N",,,,
"US1MNBU0008","2011-04-17","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-04-18","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-04-19","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   15",",,N",,,,
"US1MNBU0008","2011-04-20","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   46",",,N","    0","T,,N","    0","T,,N"
"US1MNBU0008","2011-04-21","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   13",",,N",,,,
"US1MNBU0008","2011-04-22","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   13",",,N",,,,
"US1MNBU0008","2011-04-23","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   10",",,N",,,,
"US1MNBU0008","2011-04-24","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-04-25","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-04-26","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  236",",,N",,,,
"US1MNBU0008","2011-04-27","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   48",",,N",,,,
"US1MNBU0008","2011-04-28","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   13",",,N",,,,
"US1MNBU0008","2011-04-29","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-04-30","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   23",",,N",,,,
"US1MNBU0008","2011-05-01","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   30",",,N",,,,
"US1MNBU0008","2011-05-02","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-05-03","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-05-04","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-05-05","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   28",",,N",,,,
"US1MNBU0008","2011-05-06","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-05-07","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   86",",,N",,,,
"US1MNBU0008","2011-05-09","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  178",",,N",,,,
"US1MNBU0008","2011-05-10","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    5",",,N",,,,
"US1MNBU0008","2011-05-11","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-05-12","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   10",",,N",,,,
"US1MNBU0008","2011-05-13","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   64",",,N",,,,
"US1MNBU0008","2011-05-15","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   76",",,N",,,,
"US1MNBU0008","2011-05-16","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-05-17","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-05-18","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-05-19","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-05-22","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  137",",,N",,,,
"US1MNBU0008","2011-05-23","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   28",",,N",,,,
"US1MNBU0008","2011-05-24","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   10",",,N",,,,
"US1MNBU0008","2011-05-25","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  140",",,N",,,,
"US1MNBU0008","2011-05-26","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   13",",,N",,,,
"US1MNBU0008","2011-05-27","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-05-29","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-05-30","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   18",",,N",,,,
"US1MNBU0008","2011-05-31","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   33",",,N",,,,
"US1MNBU0008","2011-06-01","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    3",",,N",,,,
"US1MNBU0008","2011-06-02","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    5",",,N",,,,
"US1MNBU0008","2011-06-03","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-06-05","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-06-06","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-06-07","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-06-08","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-06-09","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-06-10","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   99",",,N",,,,
"US1MNBU0008","2011-06-12","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   15",",,N",,,,
"US1MNBU0008","2011-06-15","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  602",",,N",,,,
"US1MNBU0008","2011-06-16","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   41",",,N",,,,
"US1MNBU0008","2011-06-17","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-06-18","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  175",",,N",,,,
"US1MNBU0008","2011-06-19","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   38",",,N",,,,
"US1MNBU0008","2011-06-20","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","    0",",,N","    0",",,N",,
"US1MNBU0008","2011-06-21","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","  244",",,N",,,,
"US1MNBU0008","2011-06-22","44.150224","-94.021172","258.2","MANKATO 2.6 WSW, MN US","   71",",,N",,,,
