"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MNFM0017","2021-08-12","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-13","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-14","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-15","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-16","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-17","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-18","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-19","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-20","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-21","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","   66",",,N",,
"US1MNFM0017","2021-08-22","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-23","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","   64",",,N",,
"US1MNFM0017","2021-08-24","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-25","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","   76",",,N",,
"US1MNFM0017","2021-08-26","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","    0",",,N","    0",",,N"
"US1MNFM0017","2021-08-27","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","  711",",,N",,
"US1MNFM0017","2021-08-28","43.5491","-92.0071","406.3","HARMONY 0.3 S, MN US","  188",",,N",,
