"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1MNIT0027","2020-05-01","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N","    0",",,N",,,,
"US1MNIT0027","2020-05-02","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","   51",",,N",,,,,,
"US1MNIT0027","2020-05-03","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N","    0",",,N",,,,
"US1MNIT0027","2020-05-04","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N",,,,,,
"US1MNIT0027","2020-05-05","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N","    0",",,N",,,,
"US1MNIT0027","2020-05-06","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N","    0",",,N",,,,
"US1MNIT0027","2020-05-07","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N","    0",",,N",,,,
"US1MNIT0027","2020-05-08","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N","    0",",,N",,,,
"US1MNIT0027","2020-05-09","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N",,,,,,
"US1MNIT0027","2020-05-10","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N",,,,,,
"US1MNIT0027","2020-05-11","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N",,,,,,
"US1MNIT0027","2020-05-12","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N",,,,,,
"US1MNIT0027","2020-05-13","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N",,,,,,
"US1MNIT0027","2020-05-14","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","   25",",,N",,,,,,
"US1MNIT0027","2020-05-15","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N",,,,,,
"US1MNIT0027","2020-05-16","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N",,,,,,
"US1MNIT0027","2020-05-17","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0",",,N",,,,,,
"US1MNIT0027","2020-05-24","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","   30",",,N",,,,,,
"US1MNIT0027","2020-05-26","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","   64",",,N",,,,,,
"US1MNIT0027","2020-06-04","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    0","T,,N",,,,,,
"US1MNIT0027","2020-06-05","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","   15",",,N",,,,,,
"US1MNIT0027","2020-06-07","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","   76",",,N",,,,,,
"US1MNIT0027","2020-06-08","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","  241",",,N",,,,,,
"US1MNIT0027","2020-06-09","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","   41",",,N",,,,,,
"US1MNIT0027","2020-06-10","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","  114",",,N",,,,,,
"US1MNIT0027","2020-06-11","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    8",",,N",,,,,,
"US1MNIT0027","2020-06-12","47.21028","-93.67472","403.3","COHASSET 2.6 SW, MN US","    8",",,N",,,,,,
