"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1MOFSA133","2006-05-01","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-02","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","   15",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-03","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","  307",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-04","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","   43",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-05","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-06","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","   33",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-07","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","   25",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-08","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-09","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-10","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","  508",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-11","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","   79",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-12","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    5",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-13","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-14","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-15","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-16","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","   18",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-17","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-18","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-19","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-20","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-21","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","   76",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-22","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","  119",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-23","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-24","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MOFSA133","2006-05-25","36.836","-89.3567","93.9","ANNISTON 1.9 WNW, MO US","   74",",,N","    0",",,N",,,,,,,,,,
