"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1MOSS0040","2018-11-05","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-11-06","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","  104",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-11-07","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-11-08","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-11-09","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","   51",",,N","   28",",,N","   13",",,N",,,,,,
"US1MOSS0040","2018-11-10","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    3",",,N","    3",",,N","    0","T,,N",,,,,,
"US1MOSS0040","2018-11-11","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-11-12","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N",,,,,,,,
"US1MOSS0040","2018-11-13","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","   20",",,N","   36",",,N","   36",",,N",,,,,,
"US1MOSS0040","2018-11-14","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N",,,,,,,,
"US1MOSS0040","2018-11-15","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","  107",",,N","  160",",,N","  152",",,N",,,,,,
"US1MOSS0040","2018-11-16","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","   28",",,N","   43",",,N","  178",",,N",,,,,,
"US1MOSS0040","2018-11-17","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N",,,,,,,,
"US1MOSS0040","2018-11-18","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0","T,,N","    0",",,N","    0","T,,N",,,,,,
"US1MOSS0040","2018-11-19","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0","T,,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-11-20","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N",,,,,,,,
"US1MOSS0040","2018-11-21","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N",,,,,,,,
"US1MOSS0040","2018-11-22","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N",,,,,,,,
"US1MOSS0040","2018-11-23","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N",,,,,,,,
"US1MOSS0040","2018-11-24","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","   99",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-11-25","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N",,,,,,,,
"US1MOSS0040","2018-11-26","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","   66",",,N","    8",",,N","    0","T,,N",,,,,,
"US1MOSS0040","2018-11-27","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0","T,,N","    0","T,,N","    0","T,,N",,,,,,
"US1MOSS0040","2018-11-28","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0","T,,N","    0","T,,N","    0",",,N",,,,,,
"US1MOSS0040","2018-11-29","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-11-30","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N",,,,,,,,
"US1MOSS0040","2018-12-01","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","  211",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-02","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    5",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-03","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0","T,,N","    0","T,,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-04","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","   13",",,N","    8",",,N","    0","T,,N",,,,,,
"US1MOSS0040","2018-12-05","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","   30",",,N","   28",",,N","    0","T,,N",,,,,,
"US1MOSS0040","2018-12-06","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-07","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","   28",",,N","    5",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-08","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-09","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-10","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-11","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-12","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-13","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-17","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-18","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
"US1MOSS0040","2018-12-19","38.815289","-90.796865","175.9","JOSEPHVILLE 1.1 S, MO US","    0",",,N","    0",",,N","    0",",,N",,,,,,
