"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1NCHW0062","2020-04-24","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","  279",",,N",,,,,,
"US1NCHW0062","2020-04-25","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","  127",",,N",,,,,,
"US1NCHW0062","2020-04-26","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","  127",",,N",,,,,,
"US1NCHW0062","2020-04-27","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-04-28","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-04-29","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-04-30","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","  429",",,N",,,,,,
"US1NCHW0062","2020-05-01","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    5",",,N",,,,,,
"US1NCHW0062","2020-05-02","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-05-03","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-05-04","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-05-05","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","   41",",,N",,,,,,
"US1NCHW0062","2020-05-06","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","   71",",,N",,,,,,
"US1NCHW0062","2020-05-07","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","  152",",,N",,,,,,
"US1NCHW0062","2020-05-08","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-05-09","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","  112",",,N",,,,,,
"US1NCHW0062","2020-05-10","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-05-11","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-05-12","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-05-13","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-05-14","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
"US1NCHW0062","2020-05-15","35.44411","-83.00024","927.8","WAYNESVILLE 2.8 S, NC US","    0",",,N","    0",",,N",,,,
