"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1NCWK0118","2012-07-24","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","   64",",,N",,,,,,
"US1NCWK0118","2012-07-28","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","   36",",,N",,,,,,
"US1NCWK0118","2012-07-29","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  295",",,N",,,,,,
"US1NCWK0118","2012-08-02","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","   58",",,N",,,,,,
"US1NCWK0118","2012-08-06","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","    5",",,N",,,,,,
"US1NCWK0118","2012-08-07","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  104",",,N",,,,,,
"US1NCWK0118","2012-08-08","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","   20",",,N",,,,,,
"US1NCWK0118","2012-08-09","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  114",",,N",,,,,,
"US1NCWK0118","2012-08-11","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  213",",,N",,,,,,
"US1NCWK0118","2012-08-12","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","   86",",,N",,,,,,
"US1NCWK0118","2012-08-16","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  559",",,N",,,,,,
"US1NCWK0118","2012-08-18","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","    5",",,N",,,,,,
"US1NCWK0118","2012-08-20","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  371",",,N",,,,,,
"US1NCWK0118","2012-08-23","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","   43",",,N",,,,,,
"US1NCWK0118","2012-08-25","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  191",",,N",,,,,,
"US1NCWK0118","2012-08-28","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","   13",",,N",,,,,,
"US1NCWK0118","2012-09-03","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  277",",,N",,,,,,
"US1NCWK0118","2012-09-07","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  224",",,N",,,,,,
"US1NCWK0118","2012-09-09","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  239",",,N",,,,,,
"US1NCWK0118","2012-09-17","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","   76",",,N",,,,,,
"US1NCWK0118","2012-09-18","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","   10",",,N",,,,,,
"US1NCWK0118","2012-09-19","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  345",",,N",,,,,,
"US1NCWK0118","2012-09-29","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","   71",",,N",,,,,,
"US1NCWK0118","2012-09-30","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","  175",",,N",,,,,,
"US1NCWK0118","2012-10-01","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","    5",",,N",,,,,,
"US1NCWK0118","2012-10-02","35.8707542419434","-78.6855087280273","118.3","RALEIGH 3.7 NNW, NC US","   53",",,N",,,,,,
