"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1NDBW0002","2012-06-06","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","   10",",,N",,,,,,
"US1NDBW0002","2012-06-07","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-06-08","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","   36",",,N",,,,,,
"US1NDBW0002","2012-06-09","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-06-10","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","   74",",,N",,,,,,
"US1NDBW0002","2012-06-11","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","   38",",,N",,,,,,
"US1NDBW0002","2012-06-12","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-06-14","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","   36",",,N",,,,,,
"US1NDBW0002","2012-06-17","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US",,,,,"    3",",,N","  269",",,N"
"US1NDBW0002","2012-06-18","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-06-19","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","   48",",,N",,,,,,
"US1NDBW0002","2012-06-20","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-06-21","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","   23",",,N",,,,,,
"US1NDBW0002","2012-06-22","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-06-23","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-06-24","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-06-25","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-07-02","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US",,,,,"    6",",,N","    5",",,N"
"US1NDBW0002","2012-07-03","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","   25",",,N",,,,,,
"US1NDBW0002","2012-07-04","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-07-05","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-07-06","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","   81",",,N",,,,,,
"US1NDBW0002","2012-07-08","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US",,,,,"    2",",,N","    0",",,N"
"US1NDBW0002","2012-07-09","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-07-10","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-07-11","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
"US1NDBW0002","2012-07-12","46.1822037","-103.4037736","906.5","BOWMAN 0.2 WSW, ND US","    0",",,N","    0",",,N",,,,
