"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1NDMT0003","2010-03-30","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","    0","T,,N",,,,,,,,,,,,
"US1NDMT0003","2010-03-31","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","   25",",,N",,,,,,,,,,,,
"US1NDMT0003","2010-04-01","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","  117",",,N",,,,,,,,,,,,
"US1NDMT0003","2010-04-02","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","  538",",,N","  208",",,N","  203",",,N",,,,,"  508",",,N","  508",",,N"
"US1NDMT0003","2010-04-03","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","    0",",,N","    0",",,N","  102",",,N",,,,,,,,
"US1NDMT0003","2010-04-04","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","    0",",,N","    0",",,N","   51",",,N",,,,,,,,
"US1NDMT0003","2010-04-05","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","    0",",,N","    0",",,N",,,,,,,,,,
"US1NDMT0003","2010-04-06","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","    0",",,N","    0",",,N",,,,,,,,,,
"US1NDMT0003","2010-04-07","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","    0",",,N","    0",",,N",,,,,,,,,,
"US1NDMT0003","2010-04-08","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","    0",",,N","    0",",,N",,,,,,,,,,
"US1NDMT0003","2010-04-09","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","    0",",,N","    0",",,N",,,,,,,,,,
"US1NDMT0003","2010-04-10","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","    0",",,N","    0",",,N",,,,,,,,,,
"US1NDMT0003","2010-04-11","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","    0","T,,N",,,,,,,,,,,,
"US1NDMT0003","2010-04-12","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","   10",",,N",,,,,,,,,,,,
"US1NDMT0003","2010-04-13","46.864994","-100.941588","604.1","MANDAN 3.5 NW, ND US","  147",",,N",,,,,,,,,,,,
