"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1NJSM0040","2012-04-23","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US",,,,,"    0",",,N","    4",",,N","  597",",,N","    0",",,N",,
"US1NJSM0040","2012-04-24","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","    0","T,,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1NJSM0040","2012-04-25","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","    0",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1NJSM0040","2012-04-26","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","    0",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1NJSM0040","2012-04-27","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","    0","T,,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1NJSM0040","2012-04-30","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US",,,,,"    0",",,N","    3",",,N","    0",",,N","    0",",,N",,
"US1NJSM0040","2012-05-01","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","  102",",,N",,,,,,,,,,,,
"US1NJSM0040","2012-05-02","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","    3",",,N",,,,,,,,,,,,
"US1NJSM0040","2012-05-03","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","  117",",,N",,,,,,,,,,,,
"US1NJSM0040","2012-05-04","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","    5",",,N",,,,,,,,,,,,
"US1NJSM0040","2012-05-07","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US",,,,,"    0",",,N","    3",",,N","    3",",,N","    0",",,N",,
"US1NJSM0040","2012-05-08","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","    5",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1NJSM0040","2012-05-09","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","   79",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1NJSM0040","2012-05-10","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","   53",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1NJSM0040","2012-05-11","40.61485","-74.49939","88.1","WARREN TWP 1.5 SSE, NJ US","    0","T,,N","    0",",,N",,,,,,,,,"    0",",,N"
