"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1OHCB0004","2010-03-16","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-03-17","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-03-18","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-03-19","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-03-20","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-03-21","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-03-22","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    3",",,N",,,,,,,,
"US1OHCB0004","2010-03-23","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","  399",",,N",,,,,,,,
"US1OHCB0004","2010-03-24","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","   13",",,N",,,,,,,,
"US1OHCB0004","2010-03-25","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-03-26","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","  145",",,N",,,,,,,,
"US1OHCB0004","2010-03-28","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-03-29","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","  104",",,N",,,,,,,,
"US1OHCB0004","2010-03-31","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-04-01","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-04-02","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-04-04","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0",",,N","    0",",,N",,,,,,
"US1OHCB0004","2010-04-05","40.6707278","-80.6564523","319.4","WELLSVILLE 4.7 N, OH US","    0","T,,N",,,,,,,,
