"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1ORBN0008","2007-12-19","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","  368",",,N","    0",",,N",,,,,,
"US1ORBN0008","2007-12-20","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","  450",",,N","    0",",,N",,,,,,
"US1ORBN0008","2007-12-21","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","   53",",,N","    0",",,N",,,,,,
"US1ORBN0008","2007-12-22","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","   43",",,N","    0",",,N",,,,,,
"US1ORBN0008","2007-12-23","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","  208",",,N","    0",",,N",,,,,,
"US1ORBN0008","2007-12-24","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","  307",",,N","    0",",,N",,,,,,
"US1ORBN0008","2007-12-25","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","   48",",,N","    0",",,N",,,,,,
"US1ORBN0008","2007-12-26","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","  183",",,N","    3",",,N",,,,,,
"US1ORBN0008","2007-12-27","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","   76",",,N","    0",",,N",,,,,,
"US1ORBN0008","2007-12-28","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","  231",",,N","    0",",,N",,,,,,
"US1ORBN0008","2007-12-29","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","  104",",,N","    0",",,N",,,,,,
"US1ORBN0008","2007-12-30","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","  142",",,N","    0",",,N",,,,,,
"US1ORBN0008","2007-12-31","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","   81",",,N","    0",",,N",,,,,,
"US1ORBN0008","2008-01-01","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","    0","T,,N","    0",",,N",,,,,,
"US1ORBN0008","2008-01-02","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","   91",",,N","    0",",,N",,,,,,
"US1ORBN0008","2008-01-03","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","  107",",,N","    0",",,N",,,,,,
"US1ORBN0008","2008-01-04","44.3667","-123.6461","74.1","ALSEA 1 W, OR US","  335",",,N","    0",",,N",,,,,,
