"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1ORLN0043","1998-06-17","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US",,,"    0",",,N",,,,,,,,,,
"US1ORLN0043","2012-12-05","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2012-12-07","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    5",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-08","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   23",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-09","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   13",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-10","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0","T,,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-11","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0","T,,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-12","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   66",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-13","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0","T,,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-14","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   46",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-15","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0","T,,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-16","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   99",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-17","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","  102",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-18","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   66",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-19","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   61",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-20","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","  145",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-21","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","  119",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-22","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   69",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-23","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   43",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-24","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","  130",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-25","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   38",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-26","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   74",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-27","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   30",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-28","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    3",",,N",,,,,,,,,,,,
"US1ORLN0043","2012-12-29","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2012-12-30","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2012-12-31","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-01","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-03","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-04","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-05","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-06","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    3",",,N",,,,,,,,,,,,
"US1ORLN0043","2013-01-07","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   33",",,N",,,,,,,,,,,,
"US1ORLN0043","2013-01-09","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US",,,,,,,"    2",",,N","   43",",,N",,,,
"US1ORLN0043","2013-01-10","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   20",",,N",,,,,,,,,,,,
"US1ORLN0043","2013-01-11","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    8",",,N",,,,,,,,,,,,
"US1ORLN0043","2013-01-12","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-13","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-15","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-16","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-17","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-18","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-19","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-20","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-21","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-23","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0",",,N","    0",",,N",,,,,,,,,,
"US1ORLN0043","2013-01-24","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   71",",,N",,,,,,,,,,,,
"US1ORLN0043","2013-01-25","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   81",",,N",,,,,,,,,,,,
"US1ORLN0043","2013-01-26","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   30",",,N",,,,,,,,,,,,
"US1ORLN0043","2013-01-27","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   89",",,N",,,,,,,,,,,,
"US1ORLN0043","2013-01-28","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   30",",,N",,,,,,,,,,,,
"US1ORLN0043","2013-01-29","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","   13",",,N",,,,,,,,,,,,
"US1ORLN0043","2013-01-30","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    5",",,N",,,,,,,,,,,,
"US1ORLN0043","2013-02-01","44.68443","-123.06352","74.1","ALBANY 4.9 NNE, OR US","    0","T,,N",,,,,,,,,,,,
