"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1SCKR0010","2010-05-21","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","    0",",,N","    0",",,N",,,,,,,,
"US1SCKR0010","2010-05-22","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","    3",",,N",,,,,,,,,,
"US1SCKR0010","2010-05-23","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","   23",",,N",,,,,,,,,,
"US1SCKR0010","2010-05-24","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","    0",",,N","    0",",,N",,,,,,,,
"US1SCKR0010","2010-05-25","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","   99",",,N",,,,,,,,,,
"US1SCKR0010","2010-05-26","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","    5",",,N",,,,,,,,,,
"US1SCKR0010","2010-05-27","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","    0",",,N","    0",",,N",,,,,,,,
"US1SCKR0010","2010-05-28","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","    0",",,N","    0",",,N",,,,,,,,
"US1SCKR0010","2010-06-01","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US",,,,,,,"    4",",,N","  437",",,N",,
"US1SCKR0010","2010-06-02","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","    3",",,N",,,,,,,,,,
"US1SCKR0010","2010-06-03","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","   89",",,N",,,,,,,,,,
"US1SCKR0010","2010-06-04","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","    0","T,,N",,,,,,,,,,
"US1SCKR0010","2010-06-05","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","    0",",,N","    0",",,N",,,,,,,,
"US1SCKR0010","2010-06-06","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","    0",",,N","    0",",,N",,,,,,,,
"US1SCKR0010","2010-06-07","34.163611","-80.7875","102.7","ELGIN 0.5 SSE, SC US","    0",",,N","    0",",,N",,,,,,,,
