"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1TXBZS106","1998-06-17","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US",,,"    0",",,N",,,,
"US1TXBZS106","2018-02-10","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","   25",",,N",,,,,,
"US1TXBZS106","2018-02-11","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0","T,,N",,,,,,
"US1TXBZS106","2018-02-12","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-02-13","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","   23",",,N",,,,,,
"US1TXBZS106","2018-02-14","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","   30",",,N",,,,,,
"US1TXBZS106","2018-02-15","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0","T,,N",,,,,,
"US1TXBZS106","2018-02-16","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-02-17","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-02-18","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-02-19","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0","T,,N",,,,,,
"US1TXBZS106","2018-02-21","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US",,,,,"    2",",,N","  330",",,N"
"US1TXBZS106","2018-02-22","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","   13",",,N",,,,,,
"US1TXBZS106","2018-02-23","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    5",",,N",,,,,,
"US1TXBZS106","2018-02-24","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","   15",",,N",,,,,,
"US1TXBZS106","2018-02-25","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","   51",",,N",,,,,,
"US1TXBZS106","2018-02-26","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    5",",,N",,,,,,
"US1TXBZS106","2018-02-27","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0","T,,N",,,,,,
"US1TXBZS106","2018-03-01","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","   15",",,N",,,,,,
"US1TXBZS106","2018-03-02","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-03","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-04","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","   20",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-05","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    5",",,N",,,,,,
"US1TXBZS106","2018-03-06","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    3",",,N",,,,,,
"US1TXBZS106","2018-03-07","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-08","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-09","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-10","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-11","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-12","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-13","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-14","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-15","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-16","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-20","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US",,,,,"    4",",,N","  137",",,N"
"US1TXBZS106","2018-03-21","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-22","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-23","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
"US1TXBZS106","2018-03-24","30.69278","-96.2822","92.4","BRYAN 5.2 ENE, TX US","    0",",,N","    0",",,N",,,,
