"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1TXKY0011","2009-09-20","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","    0",",,N","    0",",,N",,,,
"US1TXKY0011","2009-11-20","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","  279",",,N",,,,,,
"US1TXKY0011","2009-11-21","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","   10",",,N",,,,,,
"US1TXKY0011","2009-11-29","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","   20",",,N",,,,,,
"US1TXKY0011","2009-11-30","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","    0",",,N","    0",",,N",,,,
"US1TXKY0011","2009-12-01","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","   56",",,N",,,,,,
"US1TXKY0011","2009-12-02","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","   71",",,N",,,,,,
"US1TXKY0011","2009-12-03","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","    0",",,N","    0",",,N",,,,
"US1TXKY0011","2009-12-04","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","    0",",,N","    0",",,N",,,,
"US1TXKY0011","2009-12-05","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","    0",",,N","    0",",,N",,,,
"US1TXKY0011","2009-12-06","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","    0",",,N","    0",",,N",,,,
"US1TXKY0011","2009-12-07","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","    0",",,N","    0",",,N",,,,
"US1TXKY0011","2009-12-08","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","   18",",,N",,,,,,
"US1TXKY0011","2009-12-12","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","   15",",,N",,,,,,
"US1TXKY0011","2009-12-23","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","    0","T,,N",,,,,,
"US1TXKY0011","2009-12-29","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","   64",",,N",,,,,,
"US1TXKY0011","2010-01-17","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US",,,,,"    6",",,N","  259",",,N"
"US1TXKY0011","2010-02-04","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US",,,,,"    2",",,N","  457",",,N"
"US1TXKY0011","2010-03-08","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","  152",",,N",,,,,,
"US1TXKY0011","2010-04-01","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","    0",",,N","    0",",,N",,,,
"US1TXKY0011","2010-04-02","29.172467","-100.4118205","306.6","SPOFFORD 0.1 W, TX US","    0",",,N","    0",",,N",,,,
