"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1VACSC028","2021-03-24","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    5",",,N",,,,,,
"US1VACSC028","2021-03-25","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","   10",",,N",,,,,,
"US1VACSC028","2021-03-26","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-03-29","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US",,,,,"    2",",,N","   46",",,N"
"US1VACSC028","2021-03-30","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-03-31","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-04-01","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","  216",",,N",,,,,,
"US1VACSC028","2021-04-02","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    3",",,N",,,,,,
"US1VACSC028","2021-04-03","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-04-12","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US",,,,,"    9",",,N","  488",",,N"
"US1VACSC028","2021-04-13","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0","T,,N",,,,,,
"US1VACSC028","2021-04-14","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-04-15","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","  325",",,N",,,,,,
"US1VACSC028","2021-04-16","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0","T,,N",,,,,,
"US1VACSC028","2021-04-17","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-04-19","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-04-20","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","   20",",,N",,,,,,
"US1VACSC028","2021-04-21","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0","T,,N",,,,,,
"US1VACSC028","2021-04-22","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    5",",,N",,,,,,
"US1VACSC028","2021-04-23","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-04-25","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","   64",",,N",,,,,,
"US1VACSC028","2021-04-26","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0","T,,N",,,,,,
"US1VACSC028","2021-04-27","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-04-28","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-04-29","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-04-30","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    5",",,N",,,,,,
"US1VACSC028","2021-05-02","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-05-03","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","    0",",,N","    0",",,N",,,,
"US1VACSC028","2021-05-04","36.7290317","-76.334577","2.7","CHESAPEAKE 3.8 NNW, VA US","   13",",,N",,,,,,
