"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1WAKG0048","2008-08-09","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","   20",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-10","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","   25",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-11","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-12","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-13","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-14","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-15","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-16","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-17","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    3",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-18","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0","T,,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-19","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","   25",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-20","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","  117",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-21","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","  178",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-22","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0","T,,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-23","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-24","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-25","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","  241",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-26","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","   64",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-27","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","   94",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-28","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0","T,,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-29","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-30","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0",",,N","    0",",,N",,,,,,
"US1WAKG0048","2008-08-31","47.61375","-122.10817","58.5","BELLEVUE 2.3 ENE, WA US","    0",",,N","    0",",,N",,,,,,
