"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"US1WIJF0032","2022-07-28","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","   10",",,N",,,,
"US1WIJF0032","2022-07-29","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-07-30","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-07-31","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-01","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-02","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-03","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0","T,,N",,,,
"US1WIJF0032","2022-08-04","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","   41",",,N",,,,
"US1WIJF0032","2022-08-05","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-06","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-07","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","  152",",,N",,,,
"US1WIJF0032","2022-08-08","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","   41",",,N",,,,
"US1WIJF0032","2022-08-09","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","   18",",,N",,,,
"US1WIJF0032","2022-08-10","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-11","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-12","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-13","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-14","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    3",",,N",,,,
"US1WIJF0032","2022-08-15","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-16","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-17","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-18","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-19","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-20","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","  191",",,N",,,,
"US1WIJF0032","2022-08-21","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    3",",,N",,,,
"US1WIJF0032","2022-08-22","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-23","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-25","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","  244",",,N",,,,
"US1WIJF0032","2022-08-26","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","   84",",,N",,,,
"US1WIJF0032","2022-08-27","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-29","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","  282",",,N",,,,
"US1WIJF0032","2022-08-30","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-08-31","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-01","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-02","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-03","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-04","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-05","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    3",",,N",,,,
"US1WIJF0032","2022-09-06","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-07","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-08","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-10","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-11","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","  185",",,N",,,,
"US1WIJF0032","2022-09-12","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","  699",",,N",,,,
"US1WIJF0032","2022-09-13","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US",,,"    0",",,N",,
"US1WIJF0032","2022-09-14","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-15","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-16","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-17","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-18","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-19","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-20","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-21","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","   23",",,N",,,,
"US1WIJF0032","2022-09-22","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-23","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-24","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","   23",",,N",,,,
"US1WIJF0032","2022-09-25","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","   76",",,N",,,,
"US1WIJF0032","2022-09-26","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","   48",",,N",,,,
"US1WIJF0032","2022-09-27","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-28","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-29","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-09-30","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-01","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-02","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-03","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-04","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-05","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-06","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-07","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-08","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-09","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-10","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-11","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-12","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","   18",",,N",,,,
"US1WIJF0032","2022-10-13","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","   76",",,N",,,,
"US1WIJF0032","2022-10-14","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
"US1WIJF0032","2022-10-15","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    8",",,N","    0",",,N",,
"US1WIJF0032","2022-10-16","42.9456828","-88.5422655","273.4","DOUSMAN 6.0 SW, WI US","    0",",,N","    0",",,N",,
