"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00014855","1930-08-25","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-01","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-02","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-03","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-04","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-05","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-06","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-07","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-08","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-09","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-10","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-11","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-12","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-13","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-14","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-15","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   20",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-16","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","  226",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-17","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","  239",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-18","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-19","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    8",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-20","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   51",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-21","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-22","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-23","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-24","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-25","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-26","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-27","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-28","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-29","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-06-30","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   66",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-01","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-02","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-03","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-04","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-05","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-06","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   20",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-07","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   30",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-08","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-09","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   43",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-10","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   53",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-11","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   43",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-12","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-13","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-14","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   84",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-15","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   64",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-16","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-17","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   10",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-18","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-19","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-20","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-21","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-22","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-23","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-24","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   15",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-25","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-26","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-27","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   86",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-28","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","  257",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-29","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","  152",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-07-30","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-01","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-02","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-03","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","  325",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-04","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","  277",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-05","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-06","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-07","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-08","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-09","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-10","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-11","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    8",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-12","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-13","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-14","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   58",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-15","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-16","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","  188",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-17","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   36",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-18","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-19","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-20","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-21","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","   23",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-22","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-23","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
"USC00014855","1948-08-24","33.45","-87.35","85.3","BANKHEAD LOCK AND DAM, AL US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,
