"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00041112","1921-07-01","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  400",",,6","  306",",,6",,,,,"  311",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-02","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  328",",,6","  233",",,6",,,,,"  283",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-03","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  344",",,6","  217",",,6",,,,,"  328",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-04","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  406",",,6","  183",",,6",,,,,"  350",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-05","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  417",",,6","  172",",,6",,,,,"  322",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-06","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  433",",,6","  183",",,6",,,,,"  394",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-07","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  450",",,6","  183",",,6",,,,,"  417",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-08","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  433",",,6","  194",",,6",,,,,"  372",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-09","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  417",",,6","  161",",,6",,,,,"  294",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-10","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  389",",,6","  172",",,6",,,,,"  328",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-11","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  406",",,6","  150",",,6",,,,,"  333",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-12","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  378",",,6","  128",",,6",,,,,"  317",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-13","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  400",",,6","  139",",,6",,,,,"  356",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-14","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  411",",,6","  172",",,6",,,,,"  378",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-15","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  411",",,6","  150",",,6",,,,,"  372",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-16","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  394",",,6","  161",",,6",,,,,"  356",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-17","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  378",",,6","  144",",,6",,,,,"  344",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-18","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  367",",,6","  111",",,6",,,,,"  333",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-19","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  389",",,6","  122",",,6",,,,,"  339",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-20","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  378",",,6","  144",",,6",,,,,"  294",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-21","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  400",",,6","  294",",S,6",,,,,"  367",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-22","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  417",",,6","  161",",,6",,,,,"  356",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-23","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  411",",,6","  144",",,6",,,,,"  306",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-24","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  378",",,6","  133",",,6",,,,,"  278",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-25","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  389",",,6","  122",",,6",,,,,"  317",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-26","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  383",",,6","  172",",,6",,,,,"  306",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-27","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  389",",,6","  122",",,6",,,,,"  317",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-28","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  378",",,6","  144",",,6",,,,,"  306",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-29","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  361",",,6","  117",",,6",,,,,"  300",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-30","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  344",",,6","  111",",,6",,,,,"  289",",,6,",,,,,,,,,,,,,,,,
"USC00041112","1921-07-31","38.76667","-122.15","89.6","BROOKS FARNHAM RANCH, CA US",,,,,,,"  361",",,6","  111",",,6",,,,,"  322",",,6,",,,,,,,,,,,,,,,,
