"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"USC00049189","1948-07-01","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-02","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-03","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-04","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-05","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-06","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-07","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-08","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-09","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-10","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-11","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-12","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-13","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-14","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-15","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-16","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
"USC00049189","1948-07-17","36.63333","-121.03333","616.0","UPPER TRES PINOS, CA US","    0",",,0","    0",",,0","    0",",,0",,,,
