"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00067969","1950-08-01","41.06667","-73.5","34.1","STAMFORD, CT US","  274",",,0","    0",",,0","    0",",,0","  261",",,0","  217",",,0","  233",",,0",,,"    1",",,0",,,,,,,,,,,,
"USC00067969","1950-08-02","41.06667","-73.5","34.1","STAMFORD, CT US","    0","T,,0","    0",",,0","    0",",,0","  239",",,0","  167",",,0","  211",",,0",,,,,,,,,,,,,,,,
"USC00067969","1950-08-03","41.06667","-73.5","34.1","STAMFORD, CT US","  135",",,0","    0",",,0","    0",",,0","  211",",,0","  178",",,0","  183",",,0","    1",",,0",,,,,,,,,,,,,,
"USC00067969","1950-08-04","41.06667","-73.5","34.1","STAMFORD, CT US","    0","T,,0","    0",",,0","    0",",,0","  267",",,0","  178",",,0","  256",",,0",,,,,,,,,,,,,,,,
"USC00067969","1950-08-05","41.06667","-73.5","34.1","STAMFORD, CT US","    0",",,0","    0",",,0","    0",",,0","  261",",,0","  128",",,0","  239",",,0",,,,,,,,,,,,,,,,
"USC00067969","1950-08-06","41.06667","-73.5","34.1","STAMFORD, CT US","    0","T,,0","    0",",,0","    0",",,0","  256",",,0","  128",",,0","  233",",,0",,,,,,,,,,,,,,,,
"USC00067969","1950-08-07","41.06667","-73.5","34.1","STAMFORD, CT US","    0",",,0","    0",",,0","    0",",,0","  239",",,0","  150",",,0","  217",",,0",,,,,,,,,,,,,,,,
"USC00067969","1950-08-08","41.06667","-73.5","34.1","STAMFORD, CT US","    0",",,0","    0",",,0","    0",",,0","  267",",,0","  117",",,0","  256",",,0",,,,,,,,,,,,,,,,
"USC00067969","1950-08-09","41.06667","-73.5","34.1","STAMFORD, CT US","    0",",,0","    0",",,0","    0",",,0","  306",",,0","  139",",,0","  267",",,0",,,,,,,,,,,"    1",",,0",,,,
"USC00067969","1950-08-10","41.06667","-73.5","34.1","STAMFORD, CT US","    0",",,0","    0",",,0","    0",",,0","  294",",,0","  194",",,0","  278",",,0",,,,,,,,,,,"    1",",,0",,,,
