"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"USC00124729","1948-07-01","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-02","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-03","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-04","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-05","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-06","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-07","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-08","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-09","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-10","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-11","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-12","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-13","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-14","41.65","-85.43333","267.9","LAGRANGE, IN US","  142",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-15","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-16","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-17","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-18","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-19","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-20","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-21","41.65","-85.43333","267.9","LAGRANGE, IN US","   79",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-22","41.65","-85.43333","267.9","LAGRANGE, IN US","  117",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-23","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-24","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-25","41.65","-85.43333","267.9","LAGRANGE, IN US","   20",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-26","41.65","-85.43333","267.9","LAGRANGE, IN US","   58",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-27","41.65","-85.43333","267.9","LAGRANGE, IN US","   30",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-28","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-29","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-30","41.65","-85.43333","267.9","LAGRANGE, IN US","  132",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-07-31","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-08-01","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-08-02","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-08-03","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-08-04","41.65","-85.43333","267.9","LAGRANGE, IN US","  127",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-08-05","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-08-06","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-08-07","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-08-08","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-08-09","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00124729","1948-08-10","41.65","-85.43333","267.9","LAGRANGE, IN US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
