"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00145180","1909-04-01","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-02","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-03","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-04","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-05","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-06","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-07","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-08","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-09","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-10","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-11","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-12","38.15","-97.85","452.3","MEDORA, KS US","  109",",,6",,,,,,,,,,,,,,
"USC00145180","1909-04-13","38.15","-97.85","452.3","MEDORA, KS US","    0","T,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-14","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-15","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-16","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-17","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-18","38.15","-97.85","452.3","MEDORA, KS US","    0","T,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-19","38.15","-97.85","452.3","MEDORA, KS US","    0","T,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-20","38.15","-97.85","452.3","MEDORA, KS US","    3",",,6",,,,,,,,,,,,,,
"USC00145180","1909-04-21","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-22","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-23","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-24","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-25","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-26","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-27","38.15","-97.85","452.3","MEDORA, KS US","  300",",,6",,,,,,,,,,,,,,
"USC00145180","1909-04-28","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-29","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-04-30","38.15","-97.85","452.3","MEDORA, KS US","   64",",,6",,,,,,,,,,,,,,
"USC00145180","1909-05-01","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-02","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-03","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-04","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-05","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-06","38.15","-97.85","452.3","MEDORA, KS US","    0","T,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-07","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-08","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-09","38.15","-97.85","452.3","MEDORA, KS US","   10",",,6",,,,,,,,,,,,,,
"USC00145180","1909-05-10","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-11","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-12","38.15","-97.85","452.3","MEDORA, KS US","  361",",,6",,,,,,,,,,,,,,
"USC00145180","1909-05-13","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-14","38.15","-97.85","452.3","MEDORA, KS US","  188",",,6",,,,,,,,,,,,,,
"USC00145180","1909-05-15","38.15","-97.85","452.3","MEDORA, KS US","    0","T,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-16","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-17","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-18","38.15","-97.85","452.3","MEDORA, KS US","  310",",,6",,,,,,,,,,,,,,
"USC00145180","1909-05-19","38.15","-97.85","452.3","MEDORA, KS US","    0","T,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-20","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-21","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-22","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-23","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-24","38.15","-97.85","452.3","MEDORA, KS US","  295",",,6",,,,,,,,,,,,,,
"USC00145180","1909-05-25","38.15","-97.85","452.3","MEDORA, KS US","   38",",,6",,,,,,,,,,,,,,
"USC00145180","1909-05-26","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-27","38.15","-97.85","452.3","MEDORA, KS US","   38",",,6",,,,,,,,,,,,,,
"USC00145180","1909-05-28","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-29","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
"USC00145180","1909-05-30","38.15","-97.85","452.3","MEDORA, KS US","  127",",,6",,,,,,,,,,,,,,
"USC00145180","1909-05-31","38.15","-97.85","452.3","MEDORA, KS US","    0","P,,6",,,,,,,,,,,,,,
