"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00166818","1952-03-01","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-02","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-03","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  127",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-04","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-05","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-06","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-07","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-08","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-09","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-10","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","   25",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-11","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","   64",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-12","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-13","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-14","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-15","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-16","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-17","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-18","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-19","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  178",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-20","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-21","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-22","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-23","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  127",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-24","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","   51",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-25","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-26","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-27","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-28","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-29","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-30","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-03-31","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  363",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-01","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  279",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-02","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-03","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-04","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  635",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-05","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-06","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-07","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-08","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-09","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-10","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-11","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-12","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-13","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  305",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-14","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-15","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-16","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-17","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-18","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-19","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-20","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-21","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-22","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-23","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-24","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  107",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-25","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-26","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-27","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-28","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-29","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-04-30","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-01","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-02","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-03","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-04","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-05","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-06","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-07","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-08","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-09","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-10","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-11","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","   25",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-12","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-13","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-14","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-15","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-16","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-17","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-18","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-19","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  213",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-20","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  406",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-21","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-22","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-23","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","   25",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-24","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-25","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-26","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","   25",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-27","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-28","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-29","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  168",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-30","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-05-31","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-01","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-02","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-03","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-04","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-05","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-06","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-07","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-08","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-09","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","   61",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-10","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-11","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-12","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-13","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-14","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-15","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-16","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-17","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-18","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-19","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-20","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-21","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-22","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-23","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-24","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-25","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-26","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-27","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-28","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  254",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-29","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-06-30","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-01","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-02","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-03","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-04","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-05","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-06","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-07","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-08","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","   51",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-09","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","   84",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-10","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-11","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  130",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-12","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-13","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-14","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-15","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  445",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-16","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  340",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-17","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","   61",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-18","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","   76",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-19","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-20","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-21","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-22","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-23","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-24","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-25","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-26","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-27","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-28","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-29","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-30","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  198",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-07-31","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","  406",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-08-01","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
"USC00166818","1952-08-02","30.35","-90.01667","3.0","NOTT FIRE TOWER, LA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,
