"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00191097","1884-11-01","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","   76",",,6",,,,,"   44",",,6","    6",",,6",,,,,,,,,,
"USC00191097","1884-11-02","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"  111",",,6","   28",",,6",,,,,,,,,,
"USC00191097","1884-11-03","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"  100",",,6","    0",",,6",,,,,,,,,,
"USC00191097","1884-11-04","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   94",",,6","   28",",,6",,,,,,,,,,
"USC00191097","1884-11-05","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","   69",",,6",,,,,"  128",",,6","   61",",,6",,,,,,,,,,
"USC00191097","1884-11-06","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"  106",",,6","   -6",",,6",,,,,,,,,,
"USC00191097","1884-11-07","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   39",",,6","  -50",",,6",,,,,,,,,,
"USC00191097","1884-11-08","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   89",",,6","   33",",,6",,,,,,,,,,
"USC00191097","1884-11-09","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   61",",,6","  -44",",,6",,,,,,,,,,
"USC00191097","1884-11-10","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   78",",,6","   -6",",,6",,,,,,,,,,
"USC00191097","1884-11-11","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","    3",",,6",,,,,"  122",",,6","   50",",,6",,,,,,,,,,
"USC00191097","1884-11-12","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"  150",",,6","   44",",,6",,,,,,,,,,
"USC00191097","1884-11-13","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"  100",",,6","  -11",",,6",,,,,,,,,,
"USC00191097","1884-11-14","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"  122",",,6","   11",",,6",,,,,,,,,,
"USC00191097","1884-11-15","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   89",",,6","   28",",,6",,,,,,,,,,
"USC00191097","1884-11-16","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"  106",",,6","  -33",",,6",,,,,,,,,,
"USC00191097","1884-11-17","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"  117",",,6","   28",",,6",,,,,,,,,,
"USC00191097","1884-11-18","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"  122",",,6","  -39",",,6",,,,,,,,,,
"USC00191097","1884-11-19","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","   23",",,6",,,,,"    6",",,6","  -44",",,6",,,,,,,,,,
"USC00191097","1884-11-21","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","   79",",,6",,,,,"   39",",,6","  -44",",,6",,,,,,,,,,
"USC00191097","1884-11-22","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   56",",,6","  -11",",,6",,,,,,,,,,
"USC00191097","1884-11-23","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   89",",,6","   22",",,6",,,,,,,,,,
"USC00191097","1884-11-24","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","  193",",,6",,,,,"  167",",,6","   50",",,6",,,,,,,,,,
"USC00191097","1884-11-25","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   61",",,6","  -72",",,6",,,,,,,,,,
"USC00191097","1884-11-26","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","    5",",,6",,,,,"   50",",,6","  -22",",,6",,,,,,,,,,
"USC00191097","1884-11-27","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   67",",,6","  -50",",,6",,,,,,,,,,
"USC00191097","1884-11-28","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","  112",",,6",,,,,"   78",",,6","  -17",",,6",,,,,,,,,,
"USC00191097","1884-11-29","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","  267",",,6",,,,,"  100",",,6","   44",",,6",,,,,,,,,,
"USC00191097","1884-11-30","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   67",",,6","  -28",",,6",,,,,,,,,,
"USC00191097","1884-12-01","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   39",",,6","  -17",",,6",,,,,,,,,,
"USC00191097","1884-12-02","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   39",",,6","  -56",",,6",,,,,,,,,,
"USC00191097","1884-12-03","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"    6",",,6","  -67",",,6",,,,,,,,,,
"USC00191097","1884-12-04","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   44",",,6","  -28",",,6",,,,,,,,,,
"USC00191097","1884-12-05","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   78",",,6","   11",",,6",,,,,,,,,,
"USC00191097","1884-12-06","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"  111",",,6","    0",",,6",,,,,,,,,,
"USC00191097","1884-12-07","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","  335",",,6",,,,,"  144",",,6","   28",",,6",,,,,,,,,,
"USC00191097","1884-12-08","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"  139",",,6","   72",",,6",,,,,,,,,,
"USC00191097","1884-12-09","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   83",",,6","   17",",,6",,,,,,,,,,
"USC00191097","1884-12-10","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   67",",,6","  -33",",,6",,,,,,,,,,
"USC00191097","1884-12-11","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","   43",",,6",,,,,"   17",",,6","  -17",",,6",,,,,,,,,,
"USC00191097","1884-12-12","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","    5",",,6",,,,,"   28",",,6","    6",",,6",,,,,,,,,,
"USC00191097","1884-12-13","42.38333","-71.11667","18.0","CAMBRIDGE, MA US",,,,,,,"   22",",,6","  -28",",,6",,,,,,,,,,
"USC00191097","1884-12-14","42.38333","-71.11667","18.0","CAMBRIDGE, MA US","   20",",,6",,,,,"  -11",",,6","  -44",",,6",,,,,,,,,,
