"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00196783","1960-01-01","42.524","-71.1249","33.5","READING, MA US","    0",",,0,","    0",",,0,","  127",",,0,","   33",",,0"," -117",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-02","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  102",",,0,","   61",",,0"," -161",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-03","42.524","-71.1249","33.5","READING, MA US","  213",",,0,2200","    0",",,0,","    0","T,,0,","  117",",,0","   17",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-01-04","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   44",",,0","  -33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-05","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   22",",,0","  -72",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-06","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   11",",,0","  -72",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-07","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   17",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-08","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   72",",,0","  -17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-09","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","    6",",,0"," -144",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-10","42.524","-71.1249","33.5","READING, MA US","   33",",,0,2200","   46",",,0,","   51",",,0,"," -106",",,0"," -144",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-11","42.524","-71.1249","33.5","READING, MA US","   10",",,0,2200","   18",",,0,","   51",",,0,","  -28",",,0"," -172",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-12","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","   25",",,0,","   28",",,0"," -167",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-13","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","   25",",,0,","   17",",,0","  -94",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-14","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   83",",,0"," -139",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-15","42.524","-71.1249","33.5","READING, MA US","   61",",,0,2200","    0",",,0,","    0","T,,0,","   33",",,0","  -78",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-01-16","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   17",",,0","  -44",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-01-17","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   39",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-18","42.524","-71.1249","33.5","READING, MA US","   23",",,0,2200","   23",",,0,","   25",",,0,","   11",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-19","42.524","-71.1249","33.5","READING, MA US","  178",",,0,2200","  168",",,0,","  152",",,0,","   39",",,0","  -33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-20","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  152",",,0,","   17",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-21","42.524","-71.1249","33.5","READING, MA US","   36",",,0,2200","   38",",,0,","  152",",,0,","   -6",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-22","42.524","-71.1249","33.5","READING, MA US","    5",",,0,2200","    5",",,0,","  152",",,0,","   17",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-23","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  127",",,0,","   28",",,0"," -111",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-24","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","  127",",,0,","   50",",,0"," -150",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-25","42.524","-71.1249","33.5","READING, MA US","   23",",,0,2200","   25",",,0,","  152",",,0,","   -6",",,0"," -122",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-01-26","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0","T,,0,","  152",",,0,","   50",",,0","  -89",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-01-27","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0","T,,0,","  127",",,0,","   33",",,0"," -106",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,,
