"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00209105","1928-06-01","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   23",",,6","    0",",,6","    0",",,6","  222",",,6","    6",",,6","  128",",,6",,,,,,,,,,
"USC00209105","1928-06-02","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   10",",,6","    0",",,6","    0",",,6","  161",",,6","   56",",,6","  106",",,6",,,,,,,,,,
"USC00209105","1928-06-03","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  189",",,6","  -67",",,6","  -39",",,6",,,,,,,,,,
"USC00209105","1928-06-04","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  211",",,6","  -39",",,6","  106",",,6",,,,,,,,,,
"USC00209105","1928-06-05","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  222",",,6","  -11",",,6","  156",",,6",,,,,,,,,,
"USC00209105","1928-06-06","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  233",",,6","   44",",,6","  161",",,6",,,,,,,,,,
"USC00209105","1928-06-07","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  239",",,6","  -28",",,6","  183",",,6",,,,,,,,,,
"USC00209105","1928-06-08","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   28",",,6","    0",",,6","    0",",,6","  233",",,6","   94",",,6","  156",",,6",,,,,,,,,,
"USC00209105","1928-06-09","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    3",",,6","    0",",,6","    0",",,6","  211",",,6","   50",",,6","   83",",,6",,,,,,,,,,
"USC00209105","1928-06-10","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  194",",,6","  -28",",,6","  161",",,6",,,,,,,,,,
"USC00209105","1928-06-11","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  256",",,6","   17",",,6","  200",",,6",,,,,,,,,,
"USC00209105","1928-06-12","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  289",",,6","   22",",,6","  244",",,6",,,,,,,,,,
"USC00209105","1928-06-13","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0","T,,6","    0",",,6","    0",",,6","  267",",,6","  167",",,6","  167",",,6",,,,,,,,,,
"USC00209105","1928-06-14","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  178",",,6","   56",",,6","  133",",,6",,,,,,,,,,
"USC00209105","1928-06-15","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  200",",,6","  -56",",,6","  161",",,6",,,,,,,,,,
"USC00209105","1928-06-16","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  228",",,6","  -50",",,6","  128",",,6",,,,,,,,,,
"USC00209105","1928-06-17","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  267",",,6","    0",",,6","  183",",,6",,,,,,,,,,
"USC00209105","1928-06-18","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   86",",,6","    0",",,6","    0",",,6","  206",",,6","  106",",,6","  128",",,6",,,,,,,,,,
"USC00209105","1928-06-19","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  256",",,6","  111",",,6","  183",",,6",,,,,,,,,,
"USC00209105","1928-06-20","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","   25",",,6","    0",",,6","    0",",,6","  222",",,6","  128",",,6","  172",",,6",,,,,,,,,,
"USC00209105","1928-06-21","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0","T,,6","    0",",,6","    0",",,6","  267",",,6","  144",",,6","  189",",,6",,,,,,,,,,
"USC00209105","1928-06-22","45.28333","-84.61667","235.0","WOLVERINE STATE FORE, MI US","    0",",,6","    0",",,6","    0",",,6","  239",",,6","   72",",,6","  200",",,6",,,,,,,,,,
