"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00217009","1953-01-01","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    5",",,6","    5",",,6","  127",",,6","  -22",",,6","  -44",",,6"
"USC00217009","1953-01-02","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","   33",",,6","   33",",,6","  152",",,6","  -28",",,6","  -78",",,6"
"USC00217009","1953-01-03","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0","T,,6","    0","T,,6","  152",",,6","  -39",",,6"," -100",",,6"
"USC00217009","1953-01-04","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0","T,,6","    0","T,,6","  152",",,6","  -39",",,6"," -106",",,6"
"USC00217009","1953-01-05","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","   13",",,6","   20",",,6","  178",",,6"," -106",",,6"," -261",",,6"
"USC00217009","1953-01-06","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    3",",,6","    5",",,6","  178",",,6"," -128",",,6"," -278",",,6"
"USC00217009","1953-01-07","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","   20",",,6","   28",",,6","  203",",,6","  -61",",,6"," -250",",,6"
"USC00217009","1953-01-08","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0","T,,6","    0","T,,6","  203",",,6","  -22",",,6","  -78",",,6"
"USC00217009","1953-01-09","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0",",,6","    0",",,6","  203",",,6","   17",",,6"," -117",",,6"
"USC00217009","1953-01-10","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0",",,6","    0",",,6","  203",",,6","   28",",,6"," -128",",,6"
"USC00217009","1953-01-11","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0","T,,6","    0",",,6","  178",",,6","  -72",",,6"," -150",",,6"
"USC00217009","1953-01-12","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0",",,6","    0",",,6","  178",",,6","   33",",,6"," -100",",,6"
"USC00217009","1953-01-13","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0",",,6","    0",",,6","  127",",,6","   -6",",,6","  -67",",,6"
"USC00217009","1953-01-14","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0","T,,6","    0","T,,6","  127",",,6","    6",",,6","  -78",",,6"
"USC00217009","1953-01-15","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","   84",",,6","    0",",,6","  102",",,6","   11",",,6"," -206",",,6"
"USC00217009","1953-01-16","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","  117",",,6","   25",",,6","  127",",,6"," -122",",,6"," -244",",,6"
"USC00217009","1953-01-17","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0",",,6","    0",",,6","  127",",,6","  -50",",,6"," -150",",,6"
"USC00217009","1953-01-18","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0",",,6","    0",",,6","  127",",,6","  -50",",,6"," -144",",,6"
"USC00217009","1953-01-19","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0","T,,6","    0","T,,6","  127",",,6","  -33",",,6"," -133",",,6"
"USC00217009","1953-01-20","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0",",,6","    0",",,6","  127",",,6","  -33",",,6","  -78",",,6"
"USC00217009","1953-01-21","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0","T,,6","    0","T,,6","  127",",,6","    0",",,6","  -61",",,6"
"USC00217009","1953-01-22","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0","T,,6","    0","T,,6","  127",",,6","   11",",,6","  -11",",,6"
"USC00217009","1953-01-23","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","   23",",,6","   23",",,6","  127",",,6","  -11",",,6","  -83",",,6"
"USC00217009","1953-01-24","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0","T,,6","    0","T,,6","  127",",,6","  -33",",,6"," -100",",,6"
"USC00217009","1953-01-25","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0","T,,6","    0","T,,6","  127",",,6","  -56",",,6"," -111",",,6"
"USC00217009","1953-01-26","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0",",,6","    0",",,6","  127",",,6","   -6",",,6"," -106",",,6"
"USC00217009","1953-01-27","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0","T,,6","    0","T,,6","  127",",,6","  -11",",,6"," -122",",,6"
"USC00217009","1953-01-28","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","    0",",,6","    0",",,6","  127",",,6","  -89",",,6"," -167",",,6"
"USC00217009","1953-01-29","44.06667","-92.46667","299.0","ROCHESTER SEWAGE, MN US","   13",",,6","   23",",,6","  152",",,6","  -83",",,6"," -194",",,6"
