"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00233708","1893-01-01","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0",",,6",,,,
"USC00233708","1893-01-02","39.966667","-93.583333",,"HAZELHURST, MO US","   13",",,6","   13",",,6",,,,
"USC00233708","1893-01-03","39.966667","-93.583333",,"HAZELHURST, MO US","   13",",,6","   13",",,6",,,,
"USC00233708","1893-01-04","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-05","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-06","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-07","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-08","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-09","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0",",,6",,,,
"USC00233708","1893-01-10","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0","T,,6",,,,
"USC00233708","1893-01-11","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0","T,,6",,,,
"USC00233708","1893-01-12","39.966667","-93.583333",,"HAZELHURST, MO US","    8",",,6","    8",",,6",,,,
"USC00233708","1893-01-13","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-14","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0","T,,6",,,,
"USC00233708","1893-01-15","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-16","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0","T,,6",,,,
"USC00233708","1893-01-17","39.966667","-93.583333",,"HAZELHURST, MO US","    5",",,6","    5",",,6",,,,
"USC00233708","1893-01-18","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-19","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-20","39.966667","-93.583333",,"HAZELHURST, MO US","    3",",,6","    3",",,6",,,,
"USC00233708","1893-01-21","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-22","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-23","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-24","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-25","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-26","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-27","39.966667","-93.583333",,"HAZELHURST, MO US","    8",",,6","    8",",,6",,,,
"USC00233708","1893-01-28","39.966667","-93.583333",,"HAZELHURST, MO US","   33",",,6","    0",",,6",,,,
"USC00233708","1893-01-29","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-01-30","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0","T,,6",,,,
"USC00233708","1893-01-31","39.966667","-93.583333",,"HAZELHURST, MO US","    3",",,6","    0",",,6",,,,
"USC00233708","1893-02-01","39.966667","-93.583333",,"HAZELHURST, MO US","   51",",,6","   51",",,6",,,,
"USC00233708","1893-02-02","39.966667","-93.583333",,"HAZELHURST, MO US","   33",",,6","    0",",,6",,,,
"USC00233708","1893-02-03","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-04","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-05","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-06","39.966667","-93.583333",,"HAZELHURST, MO US","    5",",,6","    5",",,6",,,,
"USC00233708","1893-02-07","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-08","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-09","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0",",,6",,,,
"USC00233708","1893-02-10","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-11","39.966667","-93.583333",,"HAZELHURST, MO US","   13",",,6","   13",",,6",,,,
"USC00233708","1893-02-12","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-13","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0",",,6",,,,
"USC00233708","1893-02-14","39.966667","-93.583333",,"HAZELHURST, MO US","   13",",,6","    0",",,6",,,,
"USC00233708","1893-02-15","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-16","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-17","39.966667","-93.583333",,"HAZELHURST, MO US","  203",",,6","  203",",,6",,,,
"USC00233708","1893-02-18","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-19","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-20","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-21","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0","T,,6",,,,
"USC00233708","1893-02-22","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-23","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-24","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0","T,,6",,,,
"USC00233708","1893-02-25","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6","    0","T,,6",,,,
"USC00233708","1893-02-26","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-02-27","39.966667","-93.583333",,"HAZELHURST, MO US","   97",",,6","    0",",,6",,,,
"USC00233708","1893-02-28","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-03-01","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-02","39.966667","-93.583333",,"HAZELHURST, MO US","    5",",,6",,,,,,
"USC00233708","1893-03-03","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0","T,,6",,,,
"USC00233708","1893-03-04","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-05","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-06","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-07","39.966667","-93.583333",,"HAZELHURST, MO US","   25",",,6",,,,,,
"USC00233708","1893-03-08","39.966667","-93.583333",,"HAZELHURST, MO US","  152",",,6",,,,,,
"USC00233708","1893-03-09","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-10","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-03-11","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-12","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-13","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0","T,,6",,,,
"USC00233708","1893-03-14","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0","T,,6",,,,
"USC00233708","1893-03-15","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-16","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0","T,,6",,,,
"USC00233708","1893-03-17","39.966667","-93.583333",,"HAZELHURST, MO US","   25",",,6","   25",",,6",,,,
"USC00233708","1893-03-18","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-19","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-20","39.966667","-93.583333",,"HAZELHURST, MO US","   13",",,6",,,,,,
"USC00233708","1893-03-21","39.966667","-93.583333",,"HAZELHURST, MO US","   43",",,6",,,,,,
"USC00233708","1893-03-22","39.966667","-93.583333",,"HAZELHURST, MO US","    8",",,6",,,,,,
"USC00233708","1893-03-23","39.966667","-93.583333",,"HAZELHURST, MO US","   33",",,6",,,,,,
"USC00233708","1893-03-24","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0","T,,6",,,,
"USC00233708","1893-03-25","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-26","39.966667","-93.583333",,"HAZELHURST, MO US",,,"   38",",,6",,,,
"USC00233708","1893-03-27","39.966667","-93.583333",,"HAZELHURST, MO US","   38",",,6",,,,,,
"USC00233708","1893-03-28","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-29","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-30","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-03-31","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-04-01","39.966667","-93.583333",,"HAZELHURST, MO US","   13",",,6","    0",",,6",,,,
"USC00233708","1893-04-02","39.966667","-93.583333",,"HAZELHURST, MO US",,,"    0",",,6",,,,
"USC00233708","1893-04-03","39.966667","-93.583333",,"HAZELHURST, MO US","   13",",,6","    0",",,6",,,,
