"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00236263","1940-10-05","37.53333","-91.05",,"OATES TOWER, MO US","    3",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-10-07","37.53333","-91.05",,"OATES TOWER, MO US","  216",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-10-11","37.53333","-91.05",,"OATES TOWER, MO US","    3",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-10-15","37.53333","-91.05",,"OATES TOWER, MO US","  157",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-10-29","37.53333","-91.05",,"OATES TOWER, MO US","   13",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-11-01","37.53333","-91.05",,"OATES TOWER, MO US","   25",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-11-05","37.53333","-91.05",,"OATES TOWER, MO US","  109",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-11-12","37.53333","-91.05",,"OATES TOWER, MO US","  508",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-11-21","37.53333","-91.05",,"OATES TOWER, MO US","   28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-11-22","37.53333","-91.05",,"OATES TOWER, MO US","   30",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-11-23","37.53333","-91.05",,"OATES TOWER, MO US","  279",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-11-24","37.53333","-91.05",,"OATES TOWER, MO US","  114",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-11-26","37.53333","-91.05",,"OATES TOWER, MO US","  241",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-11-27","37.53333","-91.05",,"OATES TOWER, MO US","    5",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1940-12-05","37.53333","-91.05",,"OATES TOWER, MO US","    3",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-01-04","37.53333","-91.05",,"OATES TOWER, MO US","  381",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-01-19","37.53333","-91.05",,"OATES TOWER, MO US","  226",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-01-24","37.53333","-91.05",,"OATES TOWER, MO US","  381",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-02-10","37.53333","-91.05",,"OATES TOWER, MO US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-02-14","37.53333","-91.05",,"OATES TOWER, MO US","   58",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-02-17","37.53333","-91.05",,"OATES TOWER, MO US","    5",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-02-28","37.53333","-91.05",,"OATES TOWER, MO US","   33",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-03-08","37.53333","-91.05",,"OATES TOWER, MO US","   30",",,6","   13",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-03-10","37.53333","-91.05",,"OATES TOWER, MO US",,,,,,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,,"    1",",,6",,
"USC00236263","1941-03-12","37.53333","-91.05",,"OATES TOWER, MO US","   69",",,6","   25",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-03-14","37.53333","-91.05",,"OATES TOWER, MO US","   13",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-03-17","37.53333","-91.05",,"OATES TOWER, MO US","   43",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-04-01","37.53333","-91.05",,"OATES TOWER, MO US","   18",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-04-02","37.53333","-91.05",,"OATES TOWER, MO US","   10",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-04-06","37.53333","-91.05",,"OATES TOWER, MO US","  445",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-04-09","37.53333","-91.05",,"OATES TOWER, MO US","   48",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
