"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00237462","1976-02-01","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"   50",",,6","  -17",",,6","  -17",",,6",,,,,,
"USC00237462","1976-02-02","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","   89",",,6","  102",",,6","  102",",,6","  -17",",,6"," -122",",,6","  -94",",,6",,,,,,
"USC00237462","1976-02-03","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6","   51",",,6","   17",",,6"," -144",",,6","    6",",,6",,,,,,
"USC00237462","1976-02-04","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6","   25",",,6","    6",",,6","  -50",",,6","  -44",",,6",,,,,,
"USC00237462","1976-02-05","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","  132",",,6","    0",",,6","   25",",,6","  -11",",,6","  -44",",,6","  -44",",,6","    1",",,6",,,"    1",",,6"
"USC00237462","1976-02-06","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","T,,6","    0","T,,6","    0","T,,6","  -44",",,6","  -72",",,6","  -67",",,6",,,,,,
"USC00237462","1976-02-07","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6","    0",",,6","    0",",,6"," -117",",,6","   -6",",,6",,,,,,
"USC00237462","1976-02-08","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"   72",",,6","  -39",",,6","   17",",,6",,,,,,
"USC00237462","1976-02-09","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"  183",",,6","  -33",",,6","  167",",,6",,,,,,
"USC00237462","1976-02-10","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"  261",",,6","  133",",,6","  222",",,6",,,,,,
"USC00237462","1976-02-11","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"  222",",,6","   11",",,6","  100",",,6",,,,,,
"USC00237462","1976-02-12","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"  172",",,6","   28",",,6","  144",",,6",,,,,,
"USC00237462","1976-02-13","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"  144",",,6","   28",",,6","  106",",,6",,,,,,
"USC00237462","1976-02-14","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"  128",",,6","  -22",",,6","  117",",,6",,,,,,
"USC00237462","1976-02-15","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"  239",",,6","  117",",,6","  206",",,6",,,,,,
"USC00237462","1976-02-16","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","T,,6","    0",",,6",,,"  222",",,6","  122",",,6","  211",",,6",,,,,,
"USC00237462","1976-02-17","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"  211",",,6","   33",",,6","  106",",,6",,,,,,
"USC00237462","1976-02-18","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"  128",",,6","   72",",,6","  117",",,6",,,,,,
"USC00237462","1976-02-19","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"  150",",,6","   67",",,6","  133",",,6",,,,,,
"USC00237462","1976-02-20","38.76667","-90.26667","164.9","SAINT LOUIS 12 NNW, MO US","    0","P,,6","    0",",,6",,,"  183",",,6","    0",",,6","  178",",,6",,,,,,
