"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00240821","1950-01-01","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0","  254",",,0","  -44",",,0"," -206",",,0",,,,,,,,," -200",",,0",,,,,,,,,,,,
"USC00240821","1950-01-02","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0","T,,0","    0","T,,0","  254",",,0","  -94",",,0"," -317",",,0",,,,,,,,," -311",",,0",,,,,,,,,,,,
"USC00240821","1950-01-03","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0","T,,0","    0","T,,0","  254",",,0"," -150",",,0",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,
"USC00240821","1950-01-04","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0","  254",",,0","  -94",",,0"," -117",",I,0",,,,,,,,," -167",",,0",,,,,,,,,,,,
"USC00240821","1950-01-05","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0","  254",",,0","  -94",",,0"," -178",",,0",,,,,,,,," -111",",,0",,,,,,,,,,,,
"USC00240821","1950-01-06","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0","  254",",,0","   56",",,0"," -111",",,0",,,,,,,,,"    0",",,0",,,,,,,,,,,,
"USC00240821","1950-01-07","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0","T,,0","    0","T,,0","  254",",,0","   61",",,0","  -78",",,0",,,,,,,,,"   11",",,0",,,"    1",",,0",,,,,,,,
"USC00240821","1950-01-08","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0","  254",",,0","   44",",,0"," -111",",,0",,,,,,,,,"  -11",",,0",,,,,,,,,,,,
"USC00240821","1950-01-09","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0","  254",",,0","   50",",,0","  -89",",,0",,,,,,,,,"   22",",,0",,,,,,,,,,,,
"USC00240821","1950-01-10","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0","  254",",,0","   61",",,0"," -278",",,0",,,,,,,,," -178",",,0",,,,,,,,,,,,
"USC00240821","1950-01-11","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0","  254",",,0"," -144",",,0"," -300",",,0",,,,,,,,," -233",",,0",,,,,,,,,,,,
"USC00240821","1950-01-12","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0","  254",",,0"," -122",",,0"," -289",",,0",,,,,,,,," -244",",,0",,,,,,,,,,,,
"USC00240821","1950-01-13","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0","  254",",,0"," -133",",,0"," -294",",,0",,,,,,,,," -261",",,0",,,,,,,,,,,,
"USC00240821","1950-01-14","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0","T,,0","    0","T,,0","  254",",,0"," -150",",,0"," -311",",,0",,,,,,,,," -311",",,0",,,"    1",",,0",,,,,,,,
"USC00240821","1950-01-15","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0","T,,0","    0","T,,0","  254",",,0"," -156",",,0"," -356",",,0",,,,,,,,," -206",",,0",,,,,,,,,,,,
"USC00240821","1950-01-16","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0","  254",",,0"," -178",",,0"," -317",",,0",,,,,,,,," -233",",,0",,,,,,,,,,,,
"USC00240821","1950-01-17","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","   33",",,0","   51",",,0","  305",",,0"," -150",",,0"," -256",",,0",,,,,,,,," -217",",,0",,,,,,,,,,,,
"USC00240821","1950-01-18","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0","T,,0","    0","T,,0",,,"  -33",",,0"," -233",",,0",,,,,,,,," -222",",,0",,,,,,,,,,,,
"USC00240821","1950-01-19","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0","T,,0","    0","T,,0",,,"  -28",",,0"," -233",",,0",,,,,,,,,"  -67",",,0",,,,,,,,,,,,
"USC00240821","1950-01-20","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0",,,"   33",",,0"," -122",",,0",,,,,,,,,"  -11",",,0",,,,,,,,,,,,
"USC00240821","1950-01-21","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0",",,0","    0",",,0",,,"  128",",,0","  -39",",,0",,,,,,,,,"    6",",,0",,,,,,,,,,,,
"USC00240821","1950-01-22","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0","T,,0","    0",",,0",,,"   89",",,0","  -50",",,0",,,,,,,,,"   11",",,0",,,,,,,,,,,,
"USC00240821","1950-01-23","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0","T,,0","    0",",,0",,,"   56",",,0"," -194",",,0",,,,,,,,," -189",",,0",,,,,,,,,,,,
"USC00240821","1950-01-24","45.28333","-106.35","915.0","BIRNEY 7 E, MT US","    0","T,,0","    0","T,,0",,," -189",",,0"," -289",",,0",,,,,,,,," -289",",,0",,,,,,,,,,,,
