"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00273855","2011-01-01","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  203",",,7","   -6",",,7"
"USC00273855","2011-01-02","43.7186","-72.2724","161.5","HANOVER 2, NH US","   15",",,7,0700","    0",",,7","  178",",,7","   28",",,7"
"USC00273855","2011-01-03","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  152",",,7","  -33",",,7"
"USC00273855","2011-01-04","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  152",",,7"," -106",",,7"
"USC00273855","2011-01-05","43.7186","-72.2724","161.5","HANOVER 2, NH US","    3",",,7,0700","    3",",,7","  178",",,7","  -61",",,7"
"USC00273855","2011-01-06","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  152",",,7"," -139",",,7"
"USC00273855","2011-01-07","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  152",",,7"," -117",",,7"
"USC00273855","2011-01-08","43.7186","-72.2724","161.5","HANOVER 2, NH US","   10",",,7,0700","   51",",,7","  203",",,7","  -61",",,7"
"USC00273855","2011-01-09","43.7186","-72.2724","161.5","HANOVER 2, NH US","    3",",,7,0700","   25",",,7","  229",",,7","  -39",",,7"
"USC00273855","2011-01-10","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  203",",,7","  -72",",,7"
"USC00273855","2011-01-11","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  152",",,7","  -61",",,7"
"USC00273855","2011-01-12","43.7186","-72.2724","161.5","HANOVER 2, NH US","   25",",,7,0700","   76",",,7","  229",",,7","  -78",",,7"
"USC00273855","2011-01-13","43.7186","-72.2724","161.5","HANOVER 2, NH US","   71",",,7,0700","  229",",,7","  457",",,7","  -61",",,7"
"USC00273855","2011-01-14","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  457",",,7","  -83",",,7"
"USC00273855","2011-01-15","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  457",",,7"," -278",",,7"
"USC00273855","2011-01-16","43.7186","-72.2724","161.5","HANOVER 2, NH US","    3",",,7,0700","   51",",,7","  483",",,7","  -56",",,7"
"USC00273855","2011-01-17","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  457",",,7"," -189",",,7"
"USC00273855","2011-01-18","43.7186","-72.2724","161.5","HANOVER 2, NH US","    3",",,7,0700","    0",",,7","  457",",,7"," -100",",,7"
"USC00273855","2011-01-19","43.7186","-72.2724","161.5","HANOVER 2, NH US","  117",",,7,0700","  152",",,7","  610",",,7","  -17",",,7"
"USC00273855","2011-01-20","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  559",",,7","  -89",",,7"
"USC00273855","2011-01-21","43.7186","-72.2724","161.5","HANOVER 2, NH US","   30",",,7,0700","   51",",,7","  610",",,7","  -61",",,7"
"USC00273855","2011-01-22","43.7186","-72.2724","161.5","HANOVER 2, NH US","   30",",,7,0700","   51",",,7","  660",",,7"," -200",",,7"
"USC00273855","2011-01-23","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  635",",,7"," -167",",,7"
"USC00273855","2011-01-24","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  635",",,7"," -272",",,7"
"USC00273855","2011-01-25","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  635",",,7"," -156",",,7"
"USC00273855","2011-01-26","43.7186","-72.2724","161.5","HANOVER 2, NH US","    3",",,7,0700","   51",",,7","  660",",,7","  -89",",,7"
"USC00273855","2011-01-27","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  610",",,7","  -33",",,7"
"USC00273855","2011-01-28","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  508",",,7"," -122",",,7"
"USC00273855","2011-01-29","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  406",",,7","  -39",",,7"
"USC00273855","2011-01-30","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  356",",,7","  -89",",,7"
"USC00273855","2011-01-31","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  305",",,7"," -139",",,7"
"USC00273855","2011-02-01","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  508",",,7"," -133",",,7"
"USC00273855","2011-02-02","43.7186","-72.2724","161.5","HANOVER 2, NH US","   46",",,7,0700","  203",",,7","  711",",,7","  -78",",,7"
"USC00273855","2011-02-03","43.7186","-72.2724","161.5","HANOVER 2, NH US","  183",",,7,0700","  254",",,7","  965",",,7"," -100",",,7"
"USC00273855","2011-02-04","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  864",",,7"," -211",",,7"
"USC00273855","2011-02-05","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  762",",,7"," -178",",,7"
"USC00273855","2011-02-06","43.7186","-72.2724","161.5","HANOVER 2, NH US","   56",",,7,0700","  152",",,7","  914",",,7","   -6",",,7"
"USC00273855","2011-02-07","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  762",",,7","  -28",",,7"
"USC00273855","2011-02-08","43.7186","-72.2724","161.5","HANOVER 2, NH US","   20",",,7,0700","   51",",,7","  762",",,7","   11",",,7"
"USC00273855","2011-02-09","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  660",",,7"," -178",",,7"
"USC00273855","2011-02-10","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  660",",,7"," -150",",,7"
"USC00273855","2011-02-11","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  660",",,7"," -206",",,7"
"USC00273855","2011-02-12","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  610",",,7"," -122",",,7"
"USC00273855","2011-02-13","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  584",",,7"," -128",",,7"
"USC00273855","2011-02-14","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  559",",,7","  -33",",,7"
"USC00273855","2011-02-15","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  559",",,7"," -122",",,7"
"USC00273855","2011-02-16","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  559",",,7"," -161",",,7"
"USC00273855","2011-02-17","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  508",",,7","  -94",",,7"
"USC00273855","2011-02-18","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  406",",,7","   22",",,7"
"USC00273855","2011-02-19","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  381",",,7","   -6",",,7"
"USC00273855","2011-02-20","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  381",",,7"," -111",",,7"
"USC00273855","2011-02-21","43.7186","-72.2724","161.5","HANOVER 2, NH US","    3",",,7,0700","   25",",,7","  406",",,7","  -89",",,7"
"USC00273855","2011-02-22","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  381",",,7"," -150",",,7"
"USC00273855","2011-02-23","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  381",",,7"," -178",",,7"
"USC00273855","2011-02-24","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  356",",,7"," -167",",,7"
"USC00273855","2011-02-25","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  356",",,7","    0",",,7"
"USC00273855","2011-02-26","43.7186","-72.2724","161.5","HANOVER 2, NH US","  193",",,7,0700","  203",",,7","  559",",,7"," -111",",,7"
"USC00273855","2011-02-27","43.7186","-72.2724","161.5","HANOVER 2, NH US","   41",",,7,0700","  102",",,7","  660",",,7","  -50",",,7"
"USC00273855","2011-02-28","43.7186","-72.2724","161.5","HANOVER 2, NH US","   20",",,7,0700","   51",",,7","  635",",,7","  -17",",,7"
"USC00273855","2011-03-01","43.7186","-72.2724","161.5","HANOVER 2, NH US","   15",",,7,0700","   25",",,7","  660",",,7","  -61",",,7"
"USC00273855","2011-03-02","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  584",",,7","  -39",",,7"
"USC00273855","2011-03-03","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  559",",I,7"," -167",",,7"
"USC00273855","2011-03-04","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",I,7","  660",",I,7"," -172",",,7"
"USC00273855","2011-03-05","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  610",",,7","   17",",,7"
"USC00273855","2011-03-06","43.7186","-72.2724","161.5","HANOVER 2, NH US","   25",",,7,0700","    0",",,7","  508",",,7","   78",",,7"
"USC00273855","2011-03-07","43.7186","-72.2724","161.5","HANOVER 2, NH US","  279",",,7,0700","   25",",,7","  406",",,7","    0",",,7"
"USC00273855","2011-03-08","43.7186","-72.2724","161.5","HANOVER 2, NH US","   51",",,7,0700","   51",",,7","  406",",,7"," -100",",,7"
"USC00273855","2011-03-09","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  381",",,7","  -78",",,7"
"USC00273855","2011-03-10","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  356",",,7","    0",",,7"
"USC00273855","2011-03-11","43.7186","-72.2724","161.5","HANOVER 2, NH US","   36",",,7,0700","    0",",,7","  356",",,7","   44",",,7"
"USC00273855","2011-03-12","43.7186","-72.2724","161.5","HANOVER 2, NH US","   91",",,7,0700","    0",",,7","  305",",,7","   22",",,7"
"USC00273855","2011-03-13","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  254",",,7","   11",",,7"
"USC00273855","2011-03-14","43.7186","-72.2724","161.5","HANOVER 2, NH US","    5",",,7,0700","    0",",,7","  254",",,7","   -6",",,7"
"USC00273855","2011-03-15","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  254",",,7","  -78",",,7"
"USC00273855","2011-03-16","43.7186","-72.2724","161.5","HANOVER 2, NH US","   10",",,7,0700","    0",",,7","  254",",,7","   11",",,7"
"USC00273855","2011-03-17","43.7186","-72.2724","161.5","HANOVER 2, NH US","   66",",,7,0700","    0",",,7","  254",",,7","    0",",,7"
"USC00273855","2011-03-18","43.7186","-72.2724","161.5","HANOVER 2, NH US","   30",",,7,0700","    0",",,7","  229",",,7","   56",",,7"
"USC00273855","2011-03-19","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  152",",,7","   22",",,7"
"USC00273855","2011-03-20","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  152",",,7","  -78",",,7"
"USC00273855","2011-03-21","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  152",",,7","  -17",",,7"
"USC00273855","2011-03-22","43.7186","-72.2724","161.5","HANOVER 2, NH US","   66",",,7,0700","   76",",,7","  229",",,7","    0",",,7"
"USC00273855","2011-03-23","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  152",",,7","  -56",",,7"
"USC00273855","2011-03-24","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  152",",,7","  -44",",,7"
