"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES"
"USC00303617","1954-11-01","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-02","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","  127",",,0","   51",",,0",,,,,,,,,,
"USC00303617","1954-11-03","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","   76",",,0","   38",",,0",,,,,,,,,,
"USC00303617","1954-11-04","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","   23",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-05","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    5",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-06","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-07","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-08","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-09","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-10","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-11","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-12","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-13","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-14","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-15","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-16","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-17","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-18","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-19","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-20","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","   71",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-21","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-22","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-23","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-24","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","   38",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-25","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-26","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-27","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-28","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-29","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","  127",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-11-30","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-01","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-02","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-03","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-04","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-05","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-06","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-07","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","   20",",,0","   64",",,0",,,,,,,,,,
"USC00303617","1954-12-08","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-09","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","   38",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-10","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-11","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-12","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","   28",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-13","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","    0",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-14","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","  279",",,0","    0",",,0",,,,,,,,,,
"USC00303617","1954-12-15","42.4","-77.25","238.0","HAMMONDSPORT 1 W, NY US","   25",",,0","    0",",,0",,,,,,,,,,
