"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USC00308633","1893-01-01","43.616667","-75.416667","396.2","TURIN, NY US","  201",",,6","  104",",,6","   17",",,6"," -106",",,6",,,,
"USC00308633","1893-01-02","43.616667","-75.416667","396.2","TURIN, NY US","   38",",,6","   53",",,6","   33",",,6","  -50",",,6",,,,
"USC00308633","1893-01-03","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -44",",,6"," -222",",,6",,,,
"USC00308633","1893-01-04","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6"," -111",",,6"," -222",",,6",,,,
"USC00308633","1893-01-05","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0","T,,6","  -89",",,6"," -161",",,6",,,,
"USC00308633","1893-01-06","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6"," -106",",,6"," -178",",,6",,,,
"USC00308633","1893-01-07","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6"," -111",",,6"," -178",",,6",,,,
"USC00308633","1893-01-08","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0","T,,6"," -139",",,6"," -178",",,6",,,,
"USC00308633","1893-01-09","43.616667","-75.416667","396.2","TURIN, NY US","  208",",,6","  163",",,6","  -83",",,6"," -156",",,6",,,,
"USC00308633","1893-01-10","43.616667","-75.416667","396.2","TURIN, NY US","   18",",,6","   18",",,6","  -78",",,6"," -233",",,6",,,,
"USC00308633","1893-01-11","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6"," -189",",,6"," -289",",,6",,,,
"USC00308633","1893-01-12","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6"," -144",",,6"," -244",",,6",,,,
"USC00308633","1893-01-13","43.616667","-75.416667","396.2","TURIN, NY US","   13",",,6","   10",",,6"," -156",",,6"," -206",",,6",,,,
"USC00308633","1893-01-14","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6",,,,,,,,
"USC00308633","1893-01-15","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6"," -139",",,6"," -211",",,6",,,,
"USC00308633","1893-01-16","43.616667","-75.416667","396.2","TURIN, NY US","    8",",,6","    8",",,6"," -122",",,6"," -200",",,6",,,,
"USC00308633","1893-01-17","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6"," -117",",,6"," -200",",,6",,,,
"USC00308633","1893-01-18","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0","T,,6"," -117",",,6"," -206",",,6",,,,
"USC00308633","1893-01-19","43.616667","-75.416667","396.2","TURIN, NY US","   36",",,6","   43",",,6","  -67",",,6"," -144",",,6",,,,
"USC00308633","1893-01-20","43.616667","-75.416667","396.2","TURIN, NY US","    5",",,6","    5",",,6"," -111",",,6"," -167",",,6",,,,
"USC00308633","1893-01-21","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6"," -139",",,6"," -211",",,6",,,,
"USC00308633","1893-01-22","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -72",",,6"," -200",",,6",,,,
"USC00308633","1893-01-23","43.616667","-75.416667","396.2","TURIN, NY US","   18",",,6","   28",",,6",,,,,,,,
"USC00308633","1893-01-24","43.616667","-75.416667","396.2","TURIN, NY US","   15",",,6","   25",",,6","  -22",",,6"," -100",",,6",,,,
"USC00308633","1893-01-25","43.616667","-75.416667","396.2","TURIN, NY US","  180",",,6","  150",",,6","  -17",",,6","  -78",",,6",,,,
"USC00308633","1893-01-26","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","    0",",,6"," -122",",,6",,,,
"USC00308633","1893-01-27","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -28",",,6"," -161",",,6",,,,
"USC00308633","1893-01-28","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -28",",,6"," -161",",,6",,,,
"USC00308633","1893-01-29","43.616667","-75.416667","396.2","TURIN, NY US","  152",",,6","    0",",,6","   44",",,6","  -28",",,6",,,,
"USC00308633","1893-01-30","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -17",",,6"," -133",",,6",,,,
"USC00308633","1893-01-31","43.616667","-75.416667","396.2","TURIN, NY US","   69",",,6","   84",",,6","  -50",",,6"," -111",",,6",,,,
"USC00308633","1893-02-01","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0","T,,6","  -22",",,6"," -106",",,6",,,,
