"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00344820","1938-11-01","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,6",,,,,,,,
"USC00344820","1938-11-02","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-03","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0","T,,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-04","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","  483",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-05","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-06","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-07","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","  414",",,6,",,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-08","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    8",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-09","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-10","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-11","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-12","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0","T,,6,",,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-13","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-14","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-15","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-16","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0","T,,6,",,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-17","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0","T,,6,",,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-18","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-19","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00344820","1938-11-20","34.63333","-94.81667","793.1","KIAMICHI TOWER, OK US","    0",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
