"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00351329","1966-07-01","45.28333","-122.66667","27.1","CANBY 2 NE, OR US","   36",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00351329","1966-07-02","45.28333","-122.66667","27.1","CANBY 2 NE, OR US","   36",",,0,0900","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00351329","1966-07-03","45.28333","-122.66667","27.1","CANBY 2 NE, OR US","  150",",,0,0900","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00351329","1966-07-04","45.28333","-122.66667","27.1","CANBY 2 NE, OR US","    0","T,,0,0900","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00351329","1966-07-05","45.28333","-122.66667","27.1","CANBY 2 NE, OR US","    0",",,0,0900","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00351329","1966-07-06","45.28333","-122.66667","27.1","CANBY 2 NE, OR US","   20",",,0,0900","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00351329","1966-07-07","45.28333","-122.66667","27.1","CANBY 2 NE, OR US","    0",",,0,0900","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00351329","1966-07-08","45.28333","-122.66667","27.1","CANBY 2 NE, OR US","    0",",,0,0900","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00351329","1966-07-09","45.28333","-122.66667","27.1","CANBY 2 NE, OR US","    0",",,0,0900","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00351329","1966-07-10","45.28333","-122.66667","27.1","CANBY 2 NE, OR US","    0",",,0,0900","    0",",,0","    0",",,0",,,,,,,,,,,,,,
