"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USC00355689","1898-03-01","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  167",",,6","   22",",,6",,
"USC00355689","1898-03-02","44.85","-123.23333","61.0","MONMOUTH, OR US","   69",",,6","    0",",,6",,,"  111",",,6","   39",",,6",,
"USC00355689","1898-03-03","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  156",",,6","   78",",,6",,
"USC00355689","1898-03-04","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  133",",,6","    0",",,6",,
"USC00355689","1898-03-05","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  144",",,6","  -11",",,6",,
"USC00355689","1898-03-06","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  183",",,6","   33",",,6",,
"USC00355689","1898-03-07","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  122",",,6","   56",",,6",,
"USC00355689","1898-03-08","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  122",",,6","  -56",",,6",,
"USC00355689","1898-03-09","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  111",",,6","   33",",,6",,
"USC00355689","1898-03-10","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  133",",,6","  -28",",,6",,
"USC00355689","1898-03-11","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  161",",,6","   17",",,6",,
"USC00355689","1898-03-12","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   94",",,6","   22",",,6",,
"USC00355689","1898-03-13","44.85","-123.23333","61.0","MONMOUTH, OR US","   79",",,6","    0",",,6",,,"  106",",,6","    0",",,6",,
"USC00355689","1898-03-14","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   72",",,6","   11",",,6",,
"USC00355689","1898-03-15","44.85","-123.23333","61.0","MONMOUTH, OR US","  122",",,6","    0",",,6",,,"   89",",,6","    6",",,6",,
"USC00355689","1898-03-16","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  117",",,6","  -11",",,6",,
"USC00355689","1898-03-17","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  100",",,6","  -28",",,6",,
"USC00355689","1898-03-18","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  122",",,6","  -61",",,6",,
"USC00355689","1898-03-19","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  106",",,6","    6",",,6",,
"USC00355689","1898-03-20","44.85","-123.23333","61.0","MONMOUTH, OR US","   51",",,6","    0",",,6",,,"  106",",,6","   33",",,6",,
"USC00355689","1898-03-21","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   78",",,6","   -6",",,6",,
"USC00355689","1898-03-22","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  100",",,6","  -50",",,6",,
"USC00355689","1898-03-23","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  117",",,6","  -28",",,6",,
"USC00355689","1898-03-24","44.85","-123.23333","61.0","MONMOUTH, OR US","   76",",,6","    0",",,6",,,"   83",",,6","   28",",,6",,
"USC00355689","1898-03-25","44.85","-123.23333","61.0","MONMOUTH, OR US","   64",",,6","    8",",,6","    0",",,6","   78",",,6","  -11",",,6",,
"USC00355689","1898-03-26","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","T,,6","    0",",,6",,,"   72",",,6","  -22",",,6",,
"USC00355689","1898-03-27","44.85","-123.23333","61.0","MONMOUTH, OR US","   41",",,6","    0",",,6",,,"  100",",,6","   28",",,6",,
"USC00355689","1898-03-28","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","T,,6","    0",",,6",,,"  100",",,6","   17",",,6",,
"USC00355689","1898-03-29","44.85","-123.23333","61.0","MONMOUTH, OR US","   33",",,6","    0",",,6",,,"  128",",,6","   17",",,6",,
"USC00355689","1898-03-30","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  117",",,6","   28",",,6",,
"USC00355689","1898-03-31","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"  161",",,6","  -11",",,6",,
"USC00355689","1898-04-01","44.85","-123.23333","61.0","MONMOUTH, OR US","   28",",,6",,,,,"   94",",,6","   50",",,6",,
"USC00355689","1898-04-02","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  122",",,6","  -22",",,6",,
"USC00355689","1898-04-03","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  150",",,6","  -22",",,6",,
"USC00355689","1898-04-04","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  194",",,6","  -11",",,6",,
"USC00355689","1898-04-05","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  133",",,6","   11",",,6",,
"USC00355689","1898-04-06","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  133",",,6","   44",",,6",,
"USC00355689","1898-04-07","44.85","-123.23333","61.0","MONMOUTH, OR US","  130",",,6",,,,,"  106",",,6","   44",",,6",,
"USC00355689","1898-04-08","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  156",",,6","   44",",,6",,
"USC00355689","1898-04-09","44.85","-123.23333","61.0","MONMOUTH, OR US","   97",",,6",,,,,"  144",",,6","   11",",,6",,
"USC00355689","1898-04-10","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  133",",,6","   11",",,6",,
"USC00355689","1898-04-11","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  189",",,6","   33",",,6",,
