"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00358190","1895-05-01","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","   94",",,6","   67",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-02","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","  172",",,6","   39",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-03","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","   89",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-04","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","   89",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-05","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","  100",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-06","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","  111",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-07","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"   51",",,6","    0",",,6","   72",",,6","   11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-08","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"  127",",,6","   51",",,6","   78",",,6","  -17",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-09","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","   94",",,6","  -22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-10","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  156",",,6","   -6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-11","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  194",",,6","   39",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-12","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  267",",,6","  106",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-13","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  156",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-14","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  189",",,6","   -6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-15","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  211",",,6","  117",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-16","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  239",",,6","  133",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-17","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  178",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-18","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  111",",,6","   11",",,6",,,,,,,,,,,"    1",",,6",,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-19","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  117",",,6","    0",",,6",,,,,,,,,,,"    1",",,6",,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-20","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","  111",",,6","   11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-21","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"   76",",,6","   25",",,6","   67",",,6","   -6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-22","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"   51",",,6","    0",",,6","  111",",,6","    6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-23","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  156",",,6","  -11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-24","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  167",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-25","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","  128",",,6","   56",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-26","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"   76",",,6","   25",",,6","   83",",,6","    6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-27","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"  102",",,6","   51",",,6","   72",",,6","   -6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
