"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00365216","1926-12-05","41.316667","-76.916667","183.2","LOYALSOCK, PA US","   18",",,6","  203",",,6","  203",",,6",,,,
"USC00365216","1926-12-09","41.316667","-76.916667","183.2","LOYALSOCK, PA US","   51",",,6","   76",",,6",,,,,,
"USC00365216","1926-12-15","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    8",",,6","   76",",,6",,,,,,
"USC00365216","1926-12-25","41.316667","-76.916667","183.2","LOYALSOCK, PA US","  127",",,6","  102",",,6",,,,,,
"USC00365216","1926-12-28","41.316667","-76.916667","183.2","LOYALSOCK, PA US","   64",",,6","   76",",,6","  178",",,6",,,,
"USC00365216","1927-01-01","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
"USC00365216","1927-01-02","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
"USC00365216","1927-01-03","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
"USC00365216","1927-01-04","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
"USC00365216","1927-01-05","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
"USC00365216","1927-01-06","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
"USC00365216","1927-01-07","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
"USC00365216","1927-01-08","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
"USC00365216","1927-01-09","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
"USC00365216","1927-01-10","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
"USC00365216","1927-01-11","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
"USC00365216","1927-01-12","41.316667","-76.916667","183.2","LOYALSOCK, PA US","    0","P,,6",,,,,,,,
