"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00387113","1928-02-01","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   58",",,6,","    0",",,6,","    0",",,6,","  128",",,6","   11",",,6",,,,,,,,,,,,,,,,,,,"   94",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-02","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  100",",,6","  -39",",,6",,,,,,,,,,,,,,,,,,,"  100",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-03","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  122",",,6","  -44",",,6",,,,,,,,,,,,,,,,,,,"  117",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-04","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  167",",,6","  -11",",,6",,,,,,,,,,,,,,,,,,,"  150",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-05","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0","T,,6,","    0",",,6,","    0",",,6,","  194",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,"  156",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-06","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   15",",,6,","    0",",,6,","    0",",,6,","  206",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,"   50",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-07","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   20",",,6,","    0",",,6,","    0",",,6,","   50",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,"   39",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-08","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","  213",",,6,","    0",",,6,","    0",",,6,","  178",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,"   28",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-09","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  144",",,6","    6",",,6",,,,,,,,,,,,,,,,,,,"  139",",I,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-02-10","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  122",",I,6","  -28",",,6",,,,,,,,,,,,,,,,,,,"  111",",,6,",,,,,,,,,,,,,,,,,,,,,,
