"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00392438","1948-01-01","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   -6",",,0"," -189",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-02","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   78",",,0"," -111",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-03","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   72",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-04","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   39",",,0"," -100",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-05","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   89",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-06","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   44",",,0","  -67",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-07","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"  156",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-08","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    5",",,0","    0",",,0",,,"   89",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-09","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   61",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-10","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   33",",,0"," -122",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-01-11","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   56",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-12","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","   25",",,0",,,"   28",",,0"," -111",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-13","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"  -67",",,0"," -122",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-14","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"  100",",,0"," -194",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-15","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   44",",,0"," -178",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-16","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,," -117",",,0"," -206",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-17","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"  -67",",,0"," -222",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-18","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","    0","T,,0",,,"  -67",",,0"," -206",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-19","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   33",",,0"," -200",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-20","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   33",",,0","  -67",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-21","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","    0","T,,0",,,"  -17",",,0"," -206",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-22","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","   74",",,0","  107",",,0",,,"  -94",",,0"," -244",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-23","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"  -94",",,0"," -250",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-24","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"  -67",",,0"," -122",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-25","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"  -83",",,0"," -156",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-26","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,," -122",",,0"," -272",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-27","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,," -150",",,0"," -306",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-28","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,,," -228",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-29","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   17",",,0"," -128",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-01-30","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"  -11",",,0"," -206",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-01-31","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0",,,"   17",",,0"," -156",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-01","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  102",",,0","  -11",",,0"," -156",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-02","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  102",",,0","  -94",",,0"," -228",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-03","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  102",",,0"," -128",",,0"," -217",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-04","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  102",",,0","  -94",",,0"," -206",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-05","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  102",",,0"," -122",",,0"," -217",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-06","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  102",",,0"," -122",",,0"," -178",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-07","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  102",",,0"," -133",",,0"," -217",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-08","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  102",",,0"," -133",",,0"," -261",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-09","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  127",",,0"," -150",",,0"," -244",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-10","44.83333","-101.61667","723.0","DUPREE 16 S, SD US",,,"   51",",,0","  178",",,0"," -172",",,0"," -217",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-11","44.83333","-101.61667","723.0","DUPREE 16 S, SD US",,,"   25",",,0","  178",",,0"," -133",",,0"," -278",",,0","    2",",,0","   99",",,0",,,,,,,,,,,,,,,,
"USC00392438","1948-02-12","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  178",",,0","  -94",",,0"," -244",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-13","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  178",",,0","    0",",,0"," -206",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-14","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  178",",,0","  -17",",,0"," -122",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-02-15","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  178",",,0","  -11",",,0"," -178",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-02-16","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  127",",,0","   56",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-17","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","   76",",,0","  100",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-18","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","   25",",,0","   94",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-19","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","   51",",,0","  -22",",,0"," -178",",,0",,,,,,,,,,,,,,,,,,,,
