"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00424970","2011-01-01","41.0972","-111.9972","1359.4","LAYTON, UT US","    5",",,7,1700","   10",",,7","   25",",,7","  -61",",,7"," -122",",,7","  -83",",,7,1700",,,,,,,,
"USC00424970","2011-01-02","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   25",",,7","  -44",",,7"," -139",",,7","  -61",",,7,1700",,,,,,,,
"USC00424970","2011-01-03","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   25",",,7","  -28",",,7"," -111",",,7","  -61",",,7,1700",,,,,,,,
"USC00424970","2011-01-04","41.0972","-111.9972","1359.4","LAYTON, UT US","    0","T,,7,1700","    0","T,,7","   25",",,7","  -28",",,7"," -117",",,7","  -44",",,7,1700",,,,,,,,
"USC00424970","2011-01-05","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   25",",,7","  -11",",,7"," -106",",,7","  -33",",,7,1700",,,,,,,,
"USC00424970","2011-01-06","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   25",",,7","  -22",",,7"," -100",",,7","  -50",",,7,1700",,,,,,,,
"USC00424970","2011-01-07","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   25",",,7","  -28",",,7","  -89",",,7","  -61",",,7,1700",,,,,,,,
"USC00424970","2011-01-08","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   25",",,7","  -28",",,7","  -83",",,7","  -67",",,7,1700",,,,,,,,
"USC00424970","2011-01-09","41.0972","-111.9972","1359.4","LAYTON, UT US","   15",",,7,1700","   58",",,7","   51",",,7","  -33",",,7"," -106",",,7","  -61",",,7,1700",,,,,,,,
"USC00424970","2011-01-10","41.0972","-111.9972","1359.4","LAYTON, UT US","    8",",,7,1700","   20",",,7","   51",",,7","  -33",",,7"," -106",",,7","  -56",",,7,1700",,,,,,,,
"USC00424970","2011-01-11","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   51",",,7","  -28",",,7"," -139",",,7","  -61",",,7,1700",,,,,,,,
