"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00440937","1950-04-01","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  161",",,0","    6",",,0",,,,,"  117",",,0",,,,,,,,,,,,,,,,,"    1",",,0"
"USC00440937","1950-04-02","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","   33",",,0",,,,,"  144",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-03","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  267",",,0","   89",",,0",,,,,"  256",",,0",,,,,,,,,,,,,,,,,"    1",",,0"
"USC00440937","1950-04-04","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  283",",,0","   94",",,0",,,,,"  256",",I,0",,,,,,,,,,,,,,,,,"    1",",,0"
"USC00440937","1950-04-05","38.05","-77.35","70.1","BOWLING GREEN, VA US","   30",",,0","    0",",,0","    0",",,0","  233",",I,0","   89",",,0",,,,,"  111",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-06","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  128",",,0","    6",",,0",,,,,"   50",",,0",,,,,,,,,,,,,,,,,"    1",",,0"
"USC00440937","1950-04-07","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  144",",,0","  -33",",,0",,,,,"  100",",,0",,,,,,,,,,,,,,,,,"    1",",,0"
"USC00440937","1950-04-08","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  189",",,0","    6",",,0",,,,,"  144",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-09","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  161",",,0","    6",",,0",,,,,"   83",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-10","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","   17",",,0",,,,,"  144",",,0",,,,,,,,,,,,,,,,,,
