"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00441729","1925-04-01","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-02","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-03","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-04","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-05","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-06","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-07","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-08","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-09","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-10","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-11","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","   36",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-12","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-13","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-14","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-15","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","   76",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-16","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-17","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-18","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","  147",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-19","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    5",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-20","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","   56",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-21","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-22","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-23","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-24","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-25","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-26","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","   99",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-27","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-28","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-29","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","  124",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-04-30","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","  114",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-05-01","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    8",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-05-02","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    5",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00441729","1925-05-03","38.9","-77.08333","67.1","CLARENDON LYON PARK, VA US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
