"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00462488","1946-04-01","39.15","-80.4","326.1","DUCK CREEK, WV US","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-02","39.15","-80.4","326.1","DUCK CREEK, WV US","    5",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-03","39.15","-80.4","326.1","DUCK CREEK, WV US","    5",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-04","39.15","-80.4","326.1","DUCK CREEK, WV US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-05","39.15","-80.4","326.1","DUCK CREEK, WV US","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-06","39.15","-80.4","326.1","DUCK CREEK, WV US","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-07","39.15","-80.4","326.1","DUCK CREEK, WV US","   23",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-08","39.15","-80.4","326.1","DUCK CREEK, WV US","    3",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-09","39.15","-80.4","326.1","DUCK CREEK, WV US","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-10","39.15","-80.4","326.1","DUCK CREEK, WV US","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-11","39.15","-80.4","326.1","DUCK CREEK, WV US","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-12","39.15","-80.4","326.1","DUCK CREEK, WV US","   61",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00462488","1946-04-13","39.15","-80.4","326.1","DUCK CREEK, WV US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
