"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00502493","1917-04-01","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  305",",,6","   33",",,6","   11",",,6","   17",",,6",,,,
"USC00502493","1917-04-02","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  305",",,6","   17",",,6","  -39",",,6","  -22",",,6",,,,
"USC00502493","1917-04-03","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  305",",,6","  -11",",,6","  -50",",,6","  -33",",,6",,,,
"USC00502493","1917-04-04","63.6667","-145.9",,"DONNELLY, AK US",,,"   76",",,6","  381",",,6","  -22",",,6","  -78",",,6","  -67",",,6",,,"    1",",,6"
"USC00502493","1917-04-05","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  381",",,6","  -50",",,6","  -78",",,6","  -78",",,6",,,,
"USC00502493","1917-04-06","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  381",",,6","  -50",",,6","  -78",",,6","  -50",",,6",,,,
"USC00502493","1917-04-07","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  381",",,6","  -50",",,6"," -178",",,6","  -61",",,6",,,,
"USC00502493","1917-04-08","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  305",",,6","    0",",,6"," -122",",,6","  -11",",,6",,,,
"USC00502493","1917-04-09","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  279",",,6","   61",",,6"," -144",",,6","   39",",,6",,,,
"USC00502493","1917-04-10","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  279",",,6","   39",",,6"," -144",",,6","   33",",,6",,,,
"USC00502493","1917-04-11","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  279",",,6","   61",",,6"," -100",",,6","   33",",I,6",,,,
"USC00502493","1917-04-12","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  254",",,6","   56",",,6","   44",",I,6","   50",",,6",,,,
"USC00502493","1917-04-13","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  254",",,6","   72",",,6"," -156",",,6","   39",",,6",,,,
"USC00502493","1917-04-14","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  229",",,6","   67",",,6"," -150",",,6","   50",",,6",,,,
"USC00502493","1917-04-15","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  203",",,6","   61",",,6","  -56",",,6","   50",",,6",,,,
"USC00502493","1917-04-16","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  203",",,6","   78",",,6","  -67",",,6","   22",",,6",,,,
"USC00502493","1917-04-17","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  203",",,6","   61",",,6","    0",",,6","   56",",,6",,,,
"USC00502493","1917-04-18","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  203",",,6","   67",",,6","  -28",",,6","   61",",,6",,,,
"USC00502493","1917-04-19","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  178",",,6","   72",",,6","  -44",",,6","   44",",,6",,,,
"USC00502493","1917-04-20","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  178",",,6","   44",",,6","    6",",,6","   39",",,6",,,,
"USC00502493","1917-04-21","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  152",",,6","   44",",,6","  -78",",,6","    6",",,6",,,,
"USC00502493","1917-04-22","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  152",",,6","   33",",,6"," -106",",,6","   22",",,6",,,,
"USC00502493","1917-04-23","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  127",",,6","   94",",,6","  -56",",,6","   89",",,6",,,,
"USC00502493","1917-04-24","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","  127",",,6","  111",",,6","  -22",",,6","   94",",,6",,,,
"USC00502493","1917-04-25","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","   76",",,6","  106",",,6","  -50",",,6","   89",",,6",,,,
"USC00502493","1917-04-26","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","    0",",,6","   89",",,6","   17",",,6","   61",",,6",,,,
"USC00502493","1917-04-27","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","    0",",,6","   83",",,6","   11",",,6","   44",",,6",,,,
"USC00502493","1917-04-28","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","    0",",,6","  100",",,6","  -39",",,6","   89",",,6",,,,
"USC00502493","1917-04-29","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","    0",",,6","  111",",,6","  -28",",,6","   94",",,6",,,,
"USC00502493","1917-04-30","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","    0",",,6","   94",",,6","   22",",,6","   44",",,6","    1",",,6",,
"USC00502493","1917-05-01","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"   89",",,6","    0",",,6","   83",",,6",,,,
"USC00502493","1917-05-02","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"   83",",,6","   -6",",,6","   72",",,6",,,,
"USC00502493","1917-05-03","63.6667","-145.9",,"DONNELLY, AK US",,,"   25",",,6","   25",",,6","   83",",,6","   -6",",,6","    0",",,6",,,,
"USC00502493","1917-05-04","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"    0",",,6","  -61",",,6","  -22",",,6",,,,
"USC00502493","1917-05-05","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  -11",",,6","  -83",",,6","  -22",",,6",,,,
"USC00502493","1917-05-06","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"    0",",,6","  -22",",,6","  -17",",,6",,,,
"USC00502493","1917-05-07","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"    0",",,6","  -11",",,6","  -11",",,6",,,,
"USC00502493","1917-05-08","63.6667","-145.9",,"DONNELLY, AK US",,,"   25",",,6","   25",",,6","   17",",,6","  -56",",,6","   -6",",,6",,,,
"USC00502493","1917-05-09","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","   25",",,6","   17",",,6","  -39",",,6","   11",",,6",,,,
"USC00502493","1917-05-10","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6","    0",",,6","   44",",,6","  -33",",,6","   28",",,6",,,,
"USC00502493","1917-05-11","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"   39",",,6","  -28",",,6","   28",",,6",,,,
"USC00502493","1917-05-12","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"   94",",,6","  -11",",,6","   83",",,6",,,,
"USC00502493","1917-05-13","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  111",",,6","  -56",",,6","  100",",,6",,,,
"USC00502493","1917-05-14","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  111",",,6","   28",",,6","   83",",,6",,,,
"USC00502493","1917-05-15","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  128",",,6","   44",",,6","  100",",,6",,,,
"USC00502493","1917-05-16","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  111",",,6","   33",",,6","   78",",,6",,,,
"USC00502493","1917-05-17","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  122",",,6","   44",",,6","  100",",,6",,,,
"USC00502493","1917-05-18","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  122",",,6","   94",",,6","  111",",,6",,,,
"USC00502493","1917-05-19","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  122",",,6","   50",",,6","  100",",,6",,,,
"USC00502493","1917-05-20","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  128",",,6","   33",",,6","  111",",,6",,,,
"USC00502493","1917-05-21","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  122",",,6","   89",",,6","  106",",,6",,,,
"USC00502493","1917-05-22","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  122",",,6","   39",",,6","   94",",,6",,,,
"USC00502493","1917-05-23","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  122",",,6","   22",",,6","  106",",,6",,,,
"USC00502493","1917-05-24","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  139",",,6","   -6",",,6","  133",",,6",,,,
"USC00502493","1917-05-25","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  139",",,6","   56",",,6","  100",",,6",,,,
"USC00502493","1917-05-26","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  144",",,6","   22",",,6","  128",",I,6",,,,
"USC00502493","1917-05-27","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  178",",,6","  139",",I,6","  156",",,6",,,,
"USC00502493","1917-05-28","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  189",",,6","   89",",,6","  178",",,6",,,,
"USC00502493","1917-05-29","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  217",",,6","   83",",,6","  211",",,6",,,,
"USC00502493","1917-05-30","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  222",",,6","   17",",,6","  217",",,6",,,,
"USC00502493","1917-05-31","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  217",",,6","   78",",,6","  122",",I,6",,,,
"USC00502493","1917-06-01","63.6667","-145.9",,"DONNELLY, AK US",,,"   25",",,6","    0",",,6","  100",",I,6","   11",",,6","   94",",,6",,,,
"USC00502493","1917-06-02","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  144",",,6","    0",",,6","  122",",,6",,,,
"USC00502493","1917-06-03","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  150",",,6","    0",",,6","  133",",,6",,,,
"USC00502493","1917-06-04","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  156",",,6","   56",",,6","  139",",,6",,,,
"USC00502493","1917-06-05","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  144",",,6","   94",",,6","  133",",,6",,,,
"USC00502493","1917-06-06","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  144",",,6","   33",",,6","  122",",,6","    1",",,6",,
"USC00502493","1917-06-07","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  122",",,6","  -11",",,6","   78",",,6","    1",",,6",,
"USC00502493","1917-06-08","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  156",",,6","   44",",,6","  139",",,6",,,,
"USC00502493","1917-06-09","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  156",",,6",,,"  111",",,6","    1",",,6",,
"USC00502493","1917-06-10","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  172",",,6","   39",",,6","  128",",,6",,,,
"USC00502493","1917-06-11","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  128",",,6","   50",",,6","   83",",,6","    1",",,6",,
"USC00502493","1917-06-12","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  128",",,6","   44",",,6","  128",",,6","    1",",,6",,
"USC00502493","1917-06-13","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  183",",,6","   61",",,6","  183",",,6",,,,
"USC00502493","1917-06-14","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  200",",,6","   78",",,6","  183",",,6",,,,
"USC00502493","1917-06-15","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  189",",,6","  100",",,6","  122",",,6","    1",",,6",,
"USC00502493","1917-06-16","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  178",",,6","   89",",,6","  144",",,6","    1",",,6",,
"USC00502493","1917-06-17","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  189",",,6","  100",",,6","  150",",,6","    1",",,6",,
"USC00502493","1917-06-18","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  178",",,6","   56",",,6","  144",",,6",,,,
"USC00502493","1917-06-19","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  183",",,6","  -17",",,6","  161",",,6",,,,
"USC00502493","1917-06-20","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  178",",,6","    6",",,6","  150",",,6",,,,
"USC00502493","1917-06-21","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  200",",,6","   72",",,6","  189",",,6",,,,
