"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USC00506144","1970-10-01","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,,"  -78",",,0"," -239",",,0"," -100",",,0",,
"USC00506144","1970-10-02","68.63333","-149.56667","747.1","TOOLIK, AK US","  127",",,0",,,,,"  -89",",,0"," -117",",,0","  -94",",,0",,
"USC00506144","1970-10-03","68.63333","-149.56667","747.1","TOOLIK, AK US","   76",",,0",,,,,"  -89",",,0"," -139",",,0"," -117",",,0",,
"USC00506144","1970-10-04","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,,"  -83",",,0"," -206",",,0","  -89",",,0",,
"USC00506144","1970-10-05","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,,"  -50",",,0"," -217",",,0","  -56",",,0",,
"USC00506144","1970-10-06","68.63333","-149.56667","747.1","TOOLIK, AK US","   18",",,0",,,,,"  -44",",,0"," -228",",,0","  -56",",,0",,
"USC00506144","1970-10-07","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,,"    6",",,0"," -100",",,0","    0",",,0",,
"USC00506144","1970-10-08","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,,"   11",",,0","  -56",",,0","   -6",",,0",,
"USC00506144","1970-10-09","68.63333","-149.56667","747.1","TOOLIK, AK US","   23",",,0",,,,,"    0",",,0"," -150",",,0"," -139",",,0",,
"USC00506144","1970-10-10","68.63333","-149.56667","747.1","TOOLIK, AK US","   30",",,0",,,,," -133",",,0"," -211",",,0"," -183",",,0",,
"USC00506144","1970-10-11","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,," -178",",,0"," -294",",,0"," -289",",,0",,
"USC00506144","1970-10-12","68.63333","-149.56667","747.1","TOOLIK, AK US","    0",",,0",,,,," -228",",,0"," -350",",,0"," -283",",,0",,
"USC00506144","1970-10-13","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,," -233",",,0"," -328",",,0"," -272",",,0",,
"USC00506144","1970-10-14","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,," -189",",,0"," -272",",,0"," -228",",,0",,
"USC00506144","1970-10-15","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,," -194",",,0"," -272",",,0"," -206",",,0",,
"USC00506144","1970-10-16","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,," -144",",,0"," -217",",,0"," -194",",,0",,
"USC00506144","1970-10-17","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,," -139",",,0"," -278",",,0"," -178",",,0",,
"USC00506144","1970-10-18","68.63333","-149.56667","747.1","TOOLIK, AK US","    5",",,0",,,,," -167",",,0"," -278",",,0"," -200",",,0",,
"USC00506144","1970-10-19","68.63333","-149.56667","747.1","TOOLIK, AK US","    8",",,0",,,,," -189",",,0"," -267",",,0"," -228",",,0",,
"USC00506144","1970-10-20","68.63333","-149.56667","747.1","TOOLIK, AK US","    3",",,0",,,,," -211",",,0"," -339",",,0"," -278",",,0",,
"USC00506144","1970-10-21","68.63333","-149.56667","747.1","TOOLIK, AK US","    3",",,0",,,,," -244",",,0"," -317",",,0"," -289",",,0",,
"USC00506144","1970-10-22","68.63333","-149.56667","747.1","TOOLIK, AK US","    0","T,,0",,,,," -228",",,0"," -333",",,0"," -278",",,0",,
