"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00513556","1920-11-01","20.9","-156.3","320.0","KAUPAKULUA, HI US","   69",",,6",,
"USC00513556","1920-11-02","20.9","-156.3","320.0","KAUPAKULUA, HI US","  127",",,6",,
"USC00513556","1920-11-03","20.9","-156.3","320.0","KAUPAKULUA, HI US","   20",",,6",,
"USC00513556","1920-11-04","20.9","-156.3","320.0","KAUPAKULUA, HI US","    0","P,,6",,
"USC00513556","1920-11-05","20.9","-156.3","320.0","KAUPAKULUA, HI US","    0","P,,6",,
"USC00513556","1920-11-06","20.9","-156.3","320.0","KAUPAKULUA, HI US","    5",",,6",,
"USC00513556","1920-11-07","20.9","-156.3","320.0","KAUPAKULUA, HI US","  257",",,6",,
"USC00513556","1920-11-08","20.9","-156.3","320.0","KAUPAKULUA, HI US","   91",",,6",,
"USC00513556","1920-11-09","20.9","-156.3","320.0","KAUPAKULUA, HI US","   81",",,6",,
"USC00513556","1920-11-10","20.9","-156.3","320.0","KAUPAKULUA, HI US","   91",",,6",,
"USC00513556","1920-11-11","20.9","-156.3","320.0","KAUPAKULUA, HI US","    0","P,,6",,
"USC00513556","1920-11-12","20.9","-156.3","320.0","KAUPAKULUA, HI US","    0","P,,6",,
"USC00513556","1920-11-13","20.9","-156.3","320.0","KAUPAKULUA, HI US","    0","P,,6",,
"USC00513556","1920-11-14","20.9","-156.3","320.0","KAUPAKULUA, HI US","    0","P,,6",,
"USC00513556","1920-11-15","20.9","-156.3","320.0","KAUPAKULUA, HI US","    0","P,,6",,
"USC00513556","1920-11-16","20.9","-156.3","320.0","KAUPAKULUA, HI US","    0","P,,6",,
"USC00513556","1920-11-17","20.9","-156.3","320.0","KAUPAKULUA, HI US","    0","P,,6",,
"USC00513556","1920-11-18","20.9","-156.3","320.0","KAUPAKULUA, HI US","    0","P,,6",,
"USC00513556","1920-11-19","20.9","-156.3","320.0","KAUPAKULUA, HI US","   58",",,6",,
"USC00513556","1920-11-20","20.9","-156.3","320.0","KAUPAKULUA, HI US","  381",",,6",,
"USC00513556","1920-11-21","20.9","-156.3","320.0","KAUPAKULUA, HI US","  356",",,6",,
"USC00513556","1920-11-22","20.9","-156.3","320.0","KAUPAKULUA, HI US","  114",",,6",,
"USC00513556","1920-11-23","20.9","-156.3","320.0","KAUPAKULUA, HI US","   43",",,6",,
"USC00513556","1920-11-24","20.9","-156.3","320.0","KAUPAKULUA, HI US","   33",",,6",,
"USC00513556","1920-11-25","20.9","-156.3","320.0","KAUPAKULUA, HI US","   58",",,6",,
"USC00513556","1920-11-26","20.9","-156.3","320.0","KAUPAKULUA, HI US","    0","P,,6",,
"USC00513556","1920-11-27","20.9","-156.3","320.0","KAUPAKULUA, HI US","  104",",,6",,
"USC00513556","1920-11-28","20.9","-156.3","320.0","KAUPAKULUA, HI US","   56",",,6",,
"USC00513556","1920-11-29","20.9","-156.3","320.0","KAUPAKULUA, HI US","  635",",,6",,
"USC00513556","1920-11-30","20.9","-156.3","320.0","KAUPAKULUA, HI US","  259",",,6",,
"USC00513556","1920-12-01","20.9","-156.3","320.0","KAUPAKULUA, HI US","   10",",,6",,
"USC00513556","1920-12-02","20.9","-156.3","320.0","KAUPAKULUA, HI US","   18",",,6",,
"USC00513556","1920-12-03","20.9","-156.3","320.0","KAUPAKULUA, HI US","   38",",,6",,
"USC00513556","1920-12-04","20.9","-156.3","320.0","KAUPAKULUA, HI US","   66",",,6",,
