"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00013755","1945-03-01","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"   89",",,X","   11",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-02","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    5",",,X","    0",",,X",,,"   94",",,X","   17",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-03-03","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  217",",,X","   89",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-04","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  144",",,X","    0",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00013755","1945-03-05","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   36",",,X","    0",",,X",,,"   67",",,X","  -11",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-03-06","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  233",",,X","   61",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-03-07","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  122",",,X","   44",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-03-08","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"   78",",,X","   17",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-03-09","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"   72",",,X","  -11",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-10","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    5",",,X","    0",",,X",,,"  144",",,X","   22",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-03-11","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"   72",",,X","   22",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-12","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  128",",,X","   17",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00013755","1945-03-13","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  133",",,X","   28",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-14","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  122",",,X","   22",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-15","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  172",",,X","   89",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-03-16","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    3",",,X","    0",",,X",,,"  272",",,X","   89",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-03-17","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   71",",,X","    0",",,X",,,"  267",",,X","  128",",,X",,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-03-18","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  189",",,X","  106",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00013755","1945-03-19","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  189",",,X","  100",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-20","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  256",",,X","  139",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-21","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","  135",",,X","    0",",,X",,,"  194",",,X","  100",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-03-22","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   71",",,X","    0",",,X",,,"  106",",,X","   44",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-03-23","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  178",",,X","   56",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-24","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  156",",,X","   78",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-25","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  144",",,X","   50",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-03-26","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  156",",,X","   78",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-03-27","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  233",",,X","  117",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-28","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  250",",,X","  122",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-29","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  267",",,X","  144",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-30","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  267",",,X","  161",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-03-31","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  200",",,X","  111",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-04-01","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  189",",,X","   89",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-04-02","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    3",",,X","    0",",,X",,,"  178",",,X","  122",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-04-03","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  261",",,X","  150",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-04-04","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  178",",,X","  117",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-04-05","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  161",",,X","   78",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-04-06","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"   94",",,X","   17",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-04-07","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  111",",,X","    0",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-04-08","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  156",",,X","   67",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-04-09","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  167",",,X","   89",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00013755","1945-04-10","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  150",",,X","   94",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00013755","1945-04-11","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  150",",,X","   89",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
