"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00023191","1948-01-01","33.40419","-118.41456","477.0","AVALON CATALINA AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  106",",,X","   61",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023191","1948-01-02","33.40419","-118.41456","477.0","AVALON CATALINA AIRPORT, CA US","    0","T,,X","    0",",,X","    0",",,X","  117",",,X","   67",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023191","1948-01-03","33.40419","-118.41456","477.0","AVALON CATALINA AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  117",",,X","   83",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023191","1948-01-04","33.40419","-118.41456","477.0","AVALON CATALINA AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  178",",,X","   83",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023191","1948-01-05","33.40419","-118.41456","477.0","AVALON CATALINA AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  189",",,X","  117",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023191","1948-01-06","33.40419","-118.41456","477.0","AVALON CATALINA AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  206",",,X","  128",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023191","1948-01-07","33.40419","-118.41456","477.0","AVALON CATALINA AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  233",",,X","  139",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023191","1948-01-08","33.40419","-118.41456","477.0","AVALON CATALINA AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  250",",,X","  111",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023191","1948-01-09","33.40419","-118.41456","477.0","AVALON CATALINA AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  239",",,X","  167",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023191","1948-01-10","33.40419","-118.41456","477.0","AVALON CATALINA AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  250",",,X","  183",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
