file_name,used_columns,unused_columns,loaded_successfully
eaglei_outages_2014_agg.csv,"{'year', 'state', 'max_outage_duration', 'outage_count', 'month', 'customer_weighted_hours'}",set(),True
eaglei_outages_2014_merged.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'mean_customers'}","{'fips', 'state'}",True
eaglei_outages_2015_agg.csv,"{'year', 'state', 'max_outage_duration', 'outage_count', 'month', 'customer_weighted_hours'}",set(),True
eaglei_outages_2015_merged.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'mean_customers'}","{'fips', 'state'}",True
eaglei_outages_2016_agg.csv,"{'year', 'state', 'max_outage_duration', 'outage_count', 'month', 'customer_weighted_hours'}",set(),True
eaglei_outages_2016_merged.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'mean_customers'}","{'fips', 'state'}",True
eaglei_outages_2017_agg.csv,"{'year', 'state', 'max_outage_duration', 'outage_count', 'month', 'customer_weighted_hours'}",set(),True
eaglei_outages_2017_merged.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'mean_customers'}","{'fips', 'state'}",True
eaglei_outages_2018_agg.csv,"{'year', 'state', 'max_outage_duration', 'outage_count', 'month', 'customer_weighted_hours'}",set(),True
eaglei_outages_2018_merged.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'mean_customers'}","{'fips', 'state'}",True
eaglei_outages_2019_agg.csv,"{'year', 'state', 'max_outage_duration', 'outage_count', 'month', 'customer_weighted_hours'}",set(),True
eaglei_outages_2019_merged.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'mean_customers'}","{'fips', 'state'}",True
eaglei_outages_2020_agg.csv,"{'year', 'state', 'max_outage_duration', 'outage_count', 'month', 'customer_weighted_hours'}",set(),True
eaglei_outages_2020_merged.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'mean_customers'}","{'fips', 'state'}",True
eaglei_outages_2021_agg.csv,"{'year', 'state', 'max_outage_duration', 'outage_count', 'month', 'customer_weighted_hours'}",set(),True
eaglei_outages_2021_merged.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'mean_customers'}","{'fips', 'state'}",True
eaglei_outages_2022_agg.csv,"{'year', 'state', 'max_outage_duration', 'outage_count', 'month', 'customer_weighted_hours'}",set(),True
eaglei_outages_2022_merged.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'mean_customers'}","{'fips', 'state'}",True
eaglei_outages_2023_agg.csv,"{'year', 'state', 'max_outage_duration', 'outage_count', 'month', 'customer_weighted_hours'}",set(),True
eaglei_outages_2023_merged.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'mean_customers'}","{'fips', 'state'}",True
eaglei_outages_with_events_2014.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'end_time', 'event_type', 'mean_customers'}","{'event_id', 'state', 'fips', 'state_event', 'datetime_event_began', 'datetime_restoration'}",True
eaglei_outages_with_events_2015.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'end_time', 'event_type', 'mean_customers'}","{'event_id', 'state', 'fips', 'state_event', 'datetime_event_began', 'datetime_restoration'}",True
eaglei_outages_with_events_2016.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'end_time', 'event_type', 'mean_customers'}","{'event_id', 'state', 'fips', 'state_event', 'datetime_event_began', 'datetime_restoration'}",True
eaglei_outages_with_events_2017.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'end_time', 'event_type', 'mean_customers'}","{'event_id', 'state', 'fips', 'state_event', 'datetime_event_began', 'datetime_restoration'}",True
eaglei_outages_with_events_2018.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'end_time', 'event_type', 'mean_customers'}","{'event_id', 'state', 'fips', 'state_event', 'datetime_event_began', 'datetime_restoration'}",True
eaglei_outages_with_events_2019.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'end_time', 'event_type', 'mean_customers'}","{'event_id', 'state', 'fips', 'state_event', 'datetime_event_began', 'datetime_restoration'}",True
eaglei_outages_with_events_2020.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'end_time', 'event_type', 'mean_customers'}","{'event_id', 'state', 'fips', 'state_event', 'datetime_event_began', 'datetime_restoration'}",True
eaglei_outages_with_events_2021.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'end_time', 'event_type', 'mean_customers'}","{'event_id', 'state', 'fips', 'state_event', 'datetime_event_began', 'datetime_restoration'}",True
eaglei_outages_with_events_2022.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'end_time', 'event_type', 'mean_customers'}","{'event_id', 'state', 'fips', 'state_event', 'datetime_event_began', 'datetime_restoration'}",True
eaglei_outages_with_events_2023.csv,"{'max_customers', 'start_time', 'county', 'duration', 'min_customers', 'end_time', 'event_type', 'mean_customers'}","{'event_id', 'state', 'fips', 'state_event', 'datetime_event_began', 'datetime_restoration'}",True
