fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,end_time,event_id,state_event,datetime_event_began,datetime_restoration,event_type,year,utility_type,pop_density,rucc_code,land_area_sqmi
41005,Oregon,Clackamas,2014-12-11 22:45:00,28.75,277.0,16903.0,5322.686956521739,2014-12-13 03:30:00,Oregon-3,Oregon,2014-12-11 16:05:00,2014-12-11 21:00:00,Severe Weather- High Winds,2014,iou,224.26395729630508,1,1879.040239369498
41047,Oregon,Marion,2014-12-11 21:30:00,27.0,203.0,10258.0,3491.324074074074,2014-12-13 00:30:00,Oregon-3,Oregon,2014-12-11 16:05:00,2014-12-11 21:00:00,Severe Weather- High Winds,2014,iou,290.9848970219874,2,1188.790220867929
41051,Oregon,Multnomah,2014-12-11 23:00:00,44.0,267.0,15143.0,5264.392045454545,2014-12-13 19:00:00,Oregon-3,Oregon,2014-12-11 16:05:00,2014-12-11 21:00:00,Severe Weather- High Winds,2014,unknown,1757.211867149745,1,464.0464904910133
41051,Oregon,Multnomah,2014-12-14 08:00:00,10.0,234.0,396.0,306.2,2014-12-14 18:00:00,Oregon-3,Oregon,2014-12-11 16:05:00,2014-12-11 21:00:00,Severe Weather- High Winds,2014,unknown,1757.211867149745,1,464.0464904910133
41053,Oregon,Polk,2014-12-11 22:00:00,12.5,223.0,1380.0,812.16,2014-12-12 10:30:00,Oregon-3,Oregon,2014-12-11 16:05:00,2014-12-11 21:00:00,Severe Weather- High Winds,2014,iou,117.776847139022,2,742.3615262581737
41067,Oregon,Washington,2014-12-11 22:45:00,43.75,214.0,40174.0,8418.171428571428,2014-12-13 18:30:00,Oregon-3,Oregon,2014-12-11 16:05:00,2014-12-11 21:00:00,Severe Weather- High Winds,2014,iou,826.3591455726832,1,726.5267205143961
41067,Oregon,Washington,2014-12-14 12:30:00,2.75,219.0,219.0,219.0,2014-12-14 15:15:00,Oregon-3,Oregon,2014-12-11 16:05:00,2014-12-11 21:00:00,Severe Weather- High Winds,2014,iou,826.3591455726832,1,726.5267205143961
41071,Oregon,Yamhill,2014-12-11 22:00:00,22.75,433.0,3537.0,1591.5824175824175,2014-12-12 20:45:00,Oregon-3,Oregon,2014-12-11 16:05:00,2014-12-11 21:00:00,Severe Weather- High Winds,2014,iou,150.52104663129833,1,715.6607159652915
48015,Texas,Austin,2014-11-25 17:45:00,0.25,459.0,459.0,459.0,2014-11-25 18:00:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,45.88935154265516,1,657.3856240256329
48015,Texas,Austin,2014-11-25 19:45:00,0.25,326.0,326.0,326.0,2014-11-25 20:00:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,45.88935154265516,1,657.3856240256329
48021,Texas,Bastrop,2014-11-24 15:15:00,0.25,1624.0,1624.0,1624.0,2014-11-24 15:30:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,108.56919906799646,1,895.4289138590218
48021,Texas,Bastrop,2014-11-24 16:00:00,0.25,650.0,650.0,650.0,2014-11-24 16:15:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,108.56919906799646,1,895.4289138590218
48021,Texas,Bastrop,2014-11-24 20:30:00,0.25,412.0,412.0,412.0,2014-11-24 20:45:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,108.56919906799646,1,895.4289138590218
48029,Texas,Bexar,2014-11-24 02:00:00,0.25,202.0,202.0,202.0,2014-11-24 02:15:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,1595.5431603402435,1,1259.3354100001402
48029,Texas,Bexar,2014-11-24 07:45:00,0.75,418.0,421.0,420.0,2014-11-24 08:30:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,1595.5431603402435,1,1259.3354100001402
48029,Texas,Bexar,2014-11-24 12:00:00,4.75,418.0,764.0,499.7894736842105,2014-11-24 16:45:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,1595.5431603402435,1,1259.3354100001402
48029,Texas,Bexar,2014-11-24 17:00:00,0.5,256.0,258.0,257.0,2014-11-24 17:30:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,1595.5431603402435,1,1259.3354100001402
48029,Texas,Bexar,2014-11-25 20:00:00,1.25,250.0,261.0,254.0,2014-11-25 21:15:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,1595.5431603402435,1,1259.3354100001402
48039,Texas,Brazoria,2014-11-24 13:15:00,3.5,312.0,345.0,328.85714285714283,2014-11-24 16:45:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,254.14174540265105,1,1463.8720585261206
48039,Texas,Brazoria,2014-11-24 17:00:00,2.0,327.0,331.0,329.0,2014-11-24 19:00:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,254.14174540265105,1,1463.8720585261206
48039,Texas,Brazoria,2014-11-25 14:30:00,0.25,3455.0,3455.0,3455.0,2014-11-25 14:45:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,254.14174540265105,1,1463.8720585261206
48039,Texas,Brazoria,2014-11-25 15:45:00,1.0,222.0,262.0,240.75,2014-11-25 16:45:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,254.14174540265105,1,1463.8720585261206
48039,Texas,Brazoria,2014-11-26 06:00:00,0.25,3424.0,3424.0,3424.0,2014-11-26 06:15:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,254.14174540265105,1,1463.8720585261206
48039,Texas,Brazoria,2014-11-26 16:15:00,0.75,266.0,269.0,268.0,2014-11-26 17:00:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,254.14174540265105,1,1463.8720585261206
48049,Texas,Brown,2014-11-25 00:15:00,6.0,259.0,259.0,259.0,2014-11-25 06:15:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,unknown,40.03971334722282,5,951.4303878662082
48061,Texas,Cameron,2014-11-26 18:00:00,1.25,203.0,204.0,203.8,2014-11-26 19:15:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,410.8976389740372,2,1024.6274499197164
48071,Texas,Chambers,2014-11-25 02:15:00,1.5,229.0,229.0,229.0,2014-11-25 03:45:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,unknown,73.29291959407092,1,635.4092626945562
48085,Texas,Collin,2014-11-24 23:00:00,1.75,250.0,273.0,253.42857142857144,2014-11-25 00:45:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,unknown,1200.24565953671,1,886.8726094047106
48097,Texas,Cooke,2014-11-25 09:00:00,2.0,919.0,1644.0,1281.25,2014-11-25 11:00:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,unknown,46.33242611509125,6,899.3269615645711
48097,Texas,Cooke,2014-11-25 12:30:00,1.5,377.0,1639.0,1210.5,2014-11-25 14:00:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,unknown,46.33242611509125,6,899.3269615645711
48097,Texas,Cooke,2014-11-25 14:45:00,1.0,516.0,516.0,516.0,2014-11-25 15:45:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,unknown,46.33242611509125,6,899.3269615645711
48113,Texas,Dallas,2014-11-24 15:15:00,1.5,310.0,804.0,505.3333333333333,2014-11-24 16:45:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,2876.6771167556312,1,908.5270587988676
48113,Texas,Dallas,2014-11-24 17:00:00,2.5,402.0,912.0,567.6,2014-11-24 19:30:00,Texas-0,Texas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,2014,coop,2876.6771167556312,1,908.5270587988676
